id,sentence,modal_text,modal_lemma,negated,ought_to,POSSIBILITY,NECESSITY,TSU,NEGATION,has_separator,modal_relevant_ops,sbn
p73/d2477,I can't kiss you now.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 kiss.v.01 Agent -1 Co-Agent +1 Time +2 person.n.01 EQU hearer time.n.08 EQU now
p07/d3465,I will start working on July the first.,will,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now start.v.02 Time -1 PartOf +1 Time +2 work.v.02 Agent -3 time.n.08 MonthOfYear 7 DayOfMonth 1 time.n.08 EQU -1
p90/d3208,"This hotel can accommodate over 1,000 guests.",can,can,,,Y,,,,,POSSIBILITY,hotel.n.01 POSSIBILITY <1 accommodate.v.04 Agent -1 Theme +3 quantity.n.01 MOR +1 quantity.n.01 EQU 1000 person.n.01 Quantity -2 Role +1 guest.n.03
p75/d2108,We won't be silenced.,wo,will,neg,,,,Y,Y,,NEGATION;TSU,person.n.01 Sub speaker NEGATION <1 time.n.08 TSU now silence.v.02 Patient -2 Time -1
p09/d2140,I will discuss it with my horse.,will,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now discuss.v.02 Agent -2 Time -1 Topic +1 Co-Agent +3 entity.n.01 person.n.01 EQU speaker horse.n.01 Owner -1
p04/d2804,You'll ruin everything.,'ll,will,,,,,Y,Y,Y,CONJUNCTION;NEGATION;TSU,person.n.01 EQU hearer NEGATION <1 NEGATION <1 time.n.08 TSU now ruin.v.01 Agent -2 Time -1 Patient +1 CONJUNCTION <2 entity.n.01
p77/d2957,"Tom won't go, will he?",wo,will,neg,,,,Y,Y,,NEGATION;TSU,"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 TSU now go.v.03 Theme -2 Time -1"
p77/d2957,"Tom won't go, will he?",will,will,,,,,Y,Y,,NEGATION;TSU,"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 TSU now go.v.03 Theme -2 Time -1"
p01/d2547,Can I borrow the hair dryer?,Can,can,,,Y,,,,,POSSIBILITY,POSSIBILITY <1 person.n.01 EQU speaker borrow.v.01 Agent -1 Theme +1 hair_dryer.n.01
p04/d2061,Tom can't whistle.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,"male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 whistle.v.01 Agent -1"
p94/d1200,The planned joint venture will have a total capacity of 1.4 million metric tons.,will,will,,,,,Y,,,TSU,planned.a.01 AttributeOf +1 joint_venture.n.01 time.n.08 TSU now have.v.02 Pivot -2 Time -1 Theme +2 total.a.01 AttributeOf +1 capacity.n.01 Value +2 quantity.n.01 EQU 1400000 metric_ton.n.01 Quantity -1
p83/d2570,Tom can't cook.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,"male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 cook.v.01 Agent -1"
p10/d2267,I'll buy him a pencil.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now buy.v.01 Agent -2 Time -1 Beneficiary +1 Theme +2 male.n.02 pencil.n.01
p27/d1630,Tom said he wouldn't shoot an unarmed man.,would,would,neg,,,,Y,Y,Y,CONTINUATION;NEGATION;TSU,"male.n.02 Name ""Tom"" say.v.01 Proposition >1 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <0 male.n.02 ANA -3 NEGATION <1 time.n.08 TSU now shoot.v.01 Agent -2 Time -1 Patient +2 unarmed.a.01 AttributeOf +1 man.n.01"
p25/d2152,Tom will never change.,will,will,neg,,,,Y,Y,,NEGATION;TSU,"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 TSU now change.v.02 Patient -2 Time -1"
p73/d2958,That's thieves' cant.,ca,can,neg,,,,,,,,entity.n.01 be.v.01 Theme -1 Time +1 Co-Theme +4 time.n.08 EQU now person.n.01 Role +1 thief.n.01 cant.n.03 Creator -2
p84/d3151,I'll order food.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now order.v.02 Agent -2 Time -1 Theme +1 food.n.02
p44/d3239,Tom is hoping that he can hitch a ride to Boston.,can,can,,,Y,,,,Y,CONTINUATION;POSSIBILITY,"male.n.02 Name ""Tom"" time.n.08 EQU now hope.v.01 Time -1 Proposition >1 Agent -2 CONTINUATION <0 male.n.02 ANA -3 POSSIBILITY <1 hitch.v.04 Agent -1 Theme +1 ride.n.01 Destination +1 city.n.01 Name ""Boston"""
p06/d2983,"If you don't hurry, you'll miss the train.",'ll,will,,,,,Y,Y,Y,CONSEQUENCE;NEGATION;TSU,person.n.01 EQU hearer NEGATION <1 time.n.08 EQU now hurry.v.01 Agent -2 Time -1 CONSEQUENCE <1 person.n.01 EQU hearer time.n.08 TSU now miss.v.05 Agent -2 Time -1 Theme +1 train.n.01
p71/d2508,The government will tax your income.,will,will,,,,,Y,,,TSU,government.n.01 time.n.08 TSU now tax.v.01 Agent -2 Time -1 Theme +2 person.n.01 EQU hearer income.n.01 Creator -1
p70/d2236,No one will change anything.,will,will,,,,,Y,Y,,NEGATION;TSU,NEGATION <1 person.n.01 time.n.08 TSU now change.v.01 Agent -2 Time -1 Patient +1 entity.n.01
p07/d3339,You kids must be tired.,must,must,,,,Y,,,,NECESSITY,person.n.01 EQU hearer kid.n.01 SubOf -1 NECESSITY <1 tired.a.01 Experiencer -1
p10/d2518,Tom might be busy.,might,might,,,Y,,,,,POSSIBILITY,"male.n.02 Name ""Tom"" POSSIBILITY <1 busy.a.01 AttributeOf -1"
p64/d2301,Jim could hear whom she was phoning.,could,could,,,Y,,,,Y,CONTINUATION;POSSIBILITY,"male.n.02 Name ""Jim"" POSSIBILITY <1 hear.v.01 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 person.n.01 Name ? female.n.02 time.n.08 TPR now phone.v.01 Theme -3 Agent -2 Time -1"
p04/d2366,Tom's guardian angel must have been watching over him.,must,must,,,,Y,,,,NECESSITY,"male.n.02 Name ""Tom"" person.n.01 Role +1 guardian_angel.n.01 Of -2 NECESSITY <1 time.n.08 TPR now watch_over.v.01 Agent -3 Time -1 Theme +1 male.n.02 ANA -5"
p35/d3190,I shouldn't have yelled at Tom.,should,should,neg,,,Y,,Y,,NECESSITY;NEGATION,"person.n.01 EQU speaker NECESSITY <1 NEGATION <1 yell.v.02 Agent -1 Time +1 Recipient +2 time.n.08 TPR now male.n.02 Name ""Tom"""
p50/d1682,I'll be in the lab.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now be.v.03 Theme -2 Time -1 Location +1 lab.n.01
p46/d3139,I'll never listen to Tom again.,'ll,will,neg,,,,Y,Y,,NEGATION;TSU,"person.n.01 EQU speaker NEGATION <1 time.n.08 TSU now listen.v.01 Agent -2 Time -1 Theme +1 male.n.02 Name ""Tom"""
p63/d2230,I'll hire whoever he recommends.,'ll,will,,,,,Y,Y,Y,CONJUNCTION;NEGATION;TSU,person.n.01 EQU speaker NEGATION <1 NEGATION <1 time.n.08 TSU now hire.v.01 Agent -2 Time -1 Theme +1 CONJUNCTION <2 person.n.01 male.n.02 recommend.v.01 Theme -2 Agent -1 Time +1 time.n.08 EQU now
p40/d2079,Tom will be absent today because he has a cold.,will,will,,,,,Y,,Y,EXPLANATION;TSU,"male.n.02 Name ""Tom"" time.n.08 TSU now absent.a.01 AttributeOf -2 Time -1 Time +1 time.n.08 TIN +1 day.n.03 TCT now EXPLANATION <1 male.n.02 ANA -5 have.v.16 Experiencer -1 Time +1 Stimulus +2 time.n.08 EQU now cold.n.01"
p13/d3486,She can speak Spanish well.,can,can,,,Y,,,,,POSSIBILITY,female.n.02 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 Manner +2 spanish.n.01 well.r.01
p38/d1448,I must have my watch repaired.,must,must,,,,Y,Y,,,NECESSITY;TSU,person.n.01 EQU speaker NECESSITY <1 time.n.08 TSU now person.n.01 EQU speaker watch.n.01 User -1 repair.v.01 Beneficiary -4 Time -3 Patient -1
p65/d1491,Tom asked Mary if he could kiss her.,could,could,,,Y,,,,Y,CONTINUATION;POSSIBILITY,"male.n.02 Name ""Tom"" ask.v.02 Proposition >1 Agent -1 Time +1 Recipient +2 time.n.08 TPR now female.n.02 Name ""Mary"" CONTINUATION <0 male.n.02 ANA -4 POSSIBILITY <1 kiss.v.01 Agent -1 Co-Agent +1 female.n.02 ANA -3"
p00/d0839,He can swim.,can,can,,,Y,,,,,POSSIBILITY,male.n.02 POSSIBILITY <1 swim.v.01 Theme -1 Time +1 time.n.08 EQU now
p07/d2229,If you eat that you will die.,will,will,,,,,Y,,Y,CONSEQUENCE;TSU,person.n.01 EQU hearer eat.v.01 Agent -1 Time +1 Patient +2 time.n.08 EQU now entity.n.01 CONSEQUENCE <1 person.n.01 EQU hearer time.n.08 TSU now die.v.01 Patient -2 Time -1
p46/d2256,We'll hide in Egypt.,'ll,will,,,,,Y,,,TSU,"person.n.01 Sub speaker time.n.08 TSU now hide.v.02 Agent -2 Time -1 Location +1 country.n.02 Name ""Egypt"""
p08/d1911,If you need an umbrella I'll lend you one.,'ll,will,,,,,Y,,Y,CONSEQUENCE;TSU,person.n.01 EQU hearer need.v.02 Pivot -1 Time +1 Theme +2 time.n.08 EQU now umbrella.n.01 CONSEQUENCE <1 person.n.01 EQU speaker time.n.08 TSU now lend.v.02 Agent -2 Time -1 Recipient +1 Theme +2 person.n.01 EQU hearer umbrella.n.01
p10/d2163,I may have met her somewhere.,may,may,,,Y,,,,,POSSIBILITY,person.n.01 EQU speaker POSSIBILITY <1 meet.v.01 Theme -1 Time +1 Co-Theme +2 Location +3 time.n.08 TPR now female.n.02 location.n.01
p67/d0954,I can't stand noisy children.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 stand.v.05 Experiencer -1 Stimulus +2 noisy.a.01 AttributeOf +1 child.n.01
p92/d2088,"If you are honest, I will hire you.",will,will,,,,,Y,,Y,CONSEQUENCE;TSU,person.n.01 EQU hearer time.n.08 EQU now honest.a.03 AttributeOf -2 Time -1 CONSEQUENCE <1 person.n.01 EQU speaker time.n.08 TSU now hire.v.01 Agent -2 Time -1 Theme +1 person.n.01 EQU hearer
p86/d1952,Nancy couldn't move the desk herself.,could,could,neg,,Y,,,Y,,NEGATION;POSSIBILITY,"female.n.02 Name ""Nancy"" NEGATION <1 POSSIBILITY <1 move.v.02 Agent -1 Theme +1 desk.n.01 female.n.02 EQU -3"
p47/d0807,It will cost more than ten thousand yen.,will,will,,,,,Y,,,TSU,entity.n.01 time.n.08 TSU now cost.v.01 Theme -2 Time -1 Value +3 quantity.n.01 MOR +1 quantity.n.01 EQU 10000 yen.n.02 Quantity -2
p28/d2107,He will pay 20 dollars at most.,will,will,,,,,Y,,,TSU,male.n.02 time.n.08 TSU now pay.v.01 Agent -2 Time -1 Asset +1 dollar.n.01 Quantity +1 quantity.n.01 TOP +1 quantity.n.01 EQU 20
p90/d2490,You can't run away.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU hearer NEGATION <1 POSSIBILITY <1 run_away.v.01 Theme -1
p97/d0827,The government should do away with these regulations.,should,should,,,,Y,,,,NECESSITY,government.n.01 NECESSITY <1 do_away_with.v.01 Agent -1 Theme +1 regulation.n.01
p57/d2621,You can't go now.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU hearer NEGATION <1 POSSIBILITY <1 go.v.03 Theme -1 Time +1 time.n.08 EQU now
p20/d0783,Mary can speak Japanese.,can,can,,,Y,,,,,POSSIBILITY,"female.n.02 Name ""Mary"" POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 japanese.n.02"
p49/d1681,"On September 3rd, I will go from Los Angeles to Seoul with a friend.",will,will,,,,,Y,,,TSU,"time.n.08 MonthOfYear 9 EQU +1 time.n.08 DayOfMonth 3 person.n.01 EQU speaker time.n.08 TSU now go.v.01 Time -3 Theme -2 Time -1 Source +1 Destination +2 Co-Theme +3 city.n.01 Name ""Los Angeles"" city.n.01 Name ""Seoul"" person.n.01 Role +1 friend.n.01"
p97/d2491,The front door won't open.,wo,will,neg,,,,Y,Y,,NEGATION;TSU,front_door.n.01 NEGATION <1 time.n.08 TSU now open.v.01 Patient -2 Time -1
p95/d2007,This won't happen again.,wo,will,neg,,,,Y,Y,,NEGATION;TSU,entity.n.01 NEGATION <1 time.n.08 TSU now happen.v.01 Theme -2 Time -1
p00/d2803,My son will take over the job.,will,will,,,,,Y,,,TSU,person.n.01 EQU speaker person.n.01 Role +1 son.n.01 Of -2 time.n.08 TSU now take_over.v.03 Agent -3 Time -1 Theme +1 job.n.02
p04/d2212,It'll be hard.,'ll,will,,,,,Y,,,TSU,entity.n.01 time.n.08 TSU now hard.a.01 AttributeOf -2 Time -1
p80/d1632,"If he is proficient in English, I'll employ him.",'ll,will,,,,,Y,,Y,CONSEQUENCE;TSU,male.n.02 time.n.08 EQU now proficient.a.02 AttributeOf -2 Time -1 Theme +1 english.n.01 CONSEQUENCE <1 person.n.01 EQU speaker time.n.08 TSU now employ.v.02 Agent -2 Time -1 Theme +1 male.n.02 ANA -7
p55/d1467,My father will be forty-five in May.,will,will,,,,,Y,,,TSU,person.n.01 EQU speaker person.n.01 Role +1 father.n.01 Of -2 time.n.08 TSU now old.a.01 AttributeOf -3 Time -1 Value +1 Time +3 measure.n.02 Quantity 45 Unit +1 year.n.01 time.n.08 MonthOfYear 5
p79/d0205,"If you sing, we'll sing with you.",'ll,will,,,,,Y,,Y,CONSEQUENCE;TSU,person.n.01 EQU hearer sing.v.02 Agent -1 Time +1 time.n.08 EQU now CONSEQUENCE <1 person.n.01 Sub speaker time.n.08 TSU now sing.v.02 Agent -2 Time -1 Co-Agent +1 person.n.01 EQU hearer
p10/d2171,One cannot not communicate.,can,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,NEGATION <1 person.n.01 NEGATION <1 NEGATION <1 POSSIBILITY <1 NEGATION <1 communicate.v.01 Agent -1
p21/d1940,Nowadays anybody can get books.,can,can,,,Y,,,Y,,NEGATION;POSSIBILITY,NEGATION <1 person.n.01 NEGATION <1 POSSIBILITY <1 time.n.08 EQU now get.v.01 Pivot -2 Time -1 Theme +1 book.n.02
p78/d2364,I can't swim at all.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 swim.v.01 Theme -1
p26/d2575,I know you can do this.,can,can,,,Y,,,,Y,CONTINUATION;POSSIBILITY,person.n.01 EQU speaker know.v.01 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 person.n.01 EQU hearer POSSIBILITY <1 do.v.02 Agent -1 Theme +1 entity.n.01
p27/d2246,I will be sixteen in May.,will,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now old.a.01 AttributeOf -2 Time -1 Value +1 Time +3 measure.n.02 Quantity 16 Unit +1 year.n.01 time.n.08 MonthOfYear 5
p01/d2506,The wedding will take place on Saturday.,will,will,,,,,Y,,,TSU,wedding.n.01 time.n.08 TSU now take_place.v.01 Theme -2 Time -1 EQU +1 Time +2 entity.n.01 time.n.08 DayOfWeek saturday
p21/d0947,We will visit you.,will,will,,,,,Y,,,TSU,person.n.01 Sub speaker time.n.08 TSU now visit.v.07 Agent -2 Time -1 Co-Agent +1 person.n.01 EQU hearer
p56/d2649,I can't squeeze this orange. It's dry.,ca,can,neg,,Y,,,Y,Y,CONTINUATION;NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 squeeze.v.01 Agent -1 Material +1 orange.n.01 CONTINUATION <1 entity.n.01 time.n.08 EQU now dry.a.01 Theme -2 Time -1
p90/d3065,I cannot wipe the table. I don't have a cloth.,can,can,neg,,Y,,,Y,Y,CONTINUATION;NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 wipe.v.01 Agent -1 Source +1 table.n.02 CONTINUATION <1 person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now have.v.04 Pivot -2 Time -1 Theme +1 cloth.n.01
p62/d3253,I can't stretch my right arm.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 stretch.v.02 Agent -1 Patient +3 person.n.01 EQU speaker right.a.01 AttributeOf +1 arm.n.01 PartOf -2
p00/d0955,If you don't like it then you can quit.,can,can,,,Y,,,Y,Y,CONSEQUENCE;NEGATION;POSSIBILITY,person.n.01 EQU hearer time.n.08 EQU now NEGATION <1 like.v.02 Experiencer -2 Time -1 Stimulus +1 entity.n.01 CONSEQUENCE <2 person.n.01 EQU hearer POSSIBILITY <1 quit.v.01 Agent -1
p03/d3285,"If you need money, I'll lend you some.",'ll,will,,,,,Y,,Y,CONSEQUENCE;TSU,person.n.01 EQU hearer need.v.02 Pivot -1 Time +1 Theme +2 time.n.08 EQU now money.n.01 CONSEQUENCE <1 person.n.01 EQU speaker time.n.08 TSU now lend.v.02 Agent -2 Time -1 Recipient +1 Theme +2 person.n.01 EQU hearer money.n.01
p72/d2036,I'll escort you.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now escort.v.01 Agent -2 Time -1 Theme +1 person.n.01 EQU hearer
p77/d1760,I'll call you in the evening.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now call.v.03 Agent -2 Time -1 Theme +1 Time +2 person.n.01 EQU hearer evening.n.01
p76/d2237,I wish you could've come with us.,could,could,,,Y,,,,Y,CONTINUATION;POSSIBILITY,person.n.01 EQU hearer POSSIBILITY <1 come.v.01 Theme -1 Time +1 time.n.08 TPR now CONTINUATION <0 person.n.01 EQU speaker wish.v.01 Proposition <2 Experiencer -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Sub speaker
p00/d2718,Tom can't speak French. Tom can't speak Spanish either.,ca,can,neg,,Y,,,Y,Y,CONTINUATION;NEGATION;POSSIBILITY,"male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 french.n.01 CONTINUATION <1 male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 spanish.n.01"
p00/d2718,Tom can't speak French. Tom can't speak Spanish either.,ca,can,neg,,Y,,,Y,Y,CONTINUATION;NEGATION;POSSIBILITY,"male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 french.n.01 CONTINUATION <1 male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 spanish.n.01"
p31/d0922,I cannot fix the computer.,can,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 fix.v.01 Agent -1 Patient +1 computer.n.01
p19/d3343,He must be at least 35 years old.,must,must,,,,Y,,,,NECESSITY,male.n.02 NECESSITY <1 quantity.n.01 BOT +1 quantity.n.01 EQU 35 year.n.01 Quantity -2 age.n.01 Theme -4 Value -1
p07/d3318,The concert starts at seven. We must not be late.,must,must,neg,,,Y,Y,Y,Y,CONTINUATION;NECESSITY;NEGATION;TSU,concert.n.01 start.v.02 Theme -1 Time +1 Time +2 time.n.08 TSU now time.n.08 ClockTime 19:00 CONTINUATION <1 person.n.01 Sub speaker NECESSITY <1 NEGATION <1 late.a.01 AttributeOf -1
p31/d1966,I'll pick you up at six.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now pick_up.v.03 Agent -2 Time -1 Theme +1 Time +2 person.n.01 EQU hearer time.n.08 ClockTime 18:00
p72/d0129,"If you had a time machine, where would you go?",would,would,,,,,Y,,Y,CONSEQUENCE;TSU,person.n.01 EQU hearer have.v.01 Experiencer -1 Time +1 Stimulus +2 time.n.08 TPR now time_machine.n.01 CONSEQUENCE <1 location.n.01 Name ? time.n.08 TSU now person.n.01 EQU hearer go.v.01 Location -3 Time -2 Theme -1
p20/d1678,We'll meet at the station at nine o'clock.,'ll,will,,,,,Y,,,TSU,person.n.01 Sub speaker time.n.08 TSU now meet.v.02 Agent -2 Time -1 Location +1 Time +2 station.n.01 time.n.08 ClockTime 09:00
p19/d1872,The report may be exaggerated.,may,may,,,Y,,,,,POSSIBILITY,report.n.01 POSSIBILITY <1 time.n.08 EQU now exaggerated.a.01 AttributeOf -2 Time -1
p26/d2348,She may spill the beans.,may,may,,,Y,,,,,POSSIBILITY,female.n.02 POSSIBILITY <1 spill.v.05 Agent -1 Topic +1 secret.n.01
p10/d1403,Tom won't speak to Mary.,wo,will,neg,,,,Y,Y,,NEGATION;TSU,"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 TSU now speak.v.02 Agent -2 Time -1 Co-Agent +1 female.n.02 Name ""Mary"""
p80/d3226,Can I use this dictionary?,Can,can,,,Y,,,,,POSSIBILITY,POSSIBILITY <1 person.n.01 EQU speaker use.v.01 Agent -1 Theme +1 dictionary.n.01
p15/d0826,We should abolish the death penalty.,should,should,,,,Y,,,,NECESSITY,person.n.01 Sub speaker NECESSITY <1 abolish.v.01 Agent -1 Theme +1 death_penalty.n.01
p26/d2171,Anne will not come to our party.,will,will,neg,,,,Y,Y,,NEGATION;TSU,"female.n.02 Name ""Anne"" NEGATION <1 time.n.08 TSU now come.v.02 Theme -2 Time -1 Destination +2 person.n.01 Sub speaker party.n.04 Creator -1"
p13/d0907,He can play a flute.,can,can,,,Y,,,,,POSSIBILITY,male.n.02 POSSIBILITY <1 play.v.07 Agent -1 Theme +1 flute.n.01
p69/d0797,I will give you this book.,will,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now give.v.03 Agent -2 Time -1 Recipient +1 Theme +2 person.n.01 EQU hearer book.n.02
p22/d2839,You can buy it for a thousand yen or so.,can,can,,,Y,,,,,POSSIBILITY,person.n.01 EQU hearer POSSIBILITY <1 buy.v.01 Agent -1 Theme +1 Asset +2 entity.n.01 yen.n.02 Quantity +1 quantity.n.01 APX 1000
p13/d3174,The soup is so hot I can't drink it.,ca,can,neg,,Y,,,Y,Y,NEGATION;POSSIBILITY;RESULT,soup.n.01 time.n.08 EQU now hot.a.01 Time -1 Value + AttributeOf -2 RESULT <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 drink.v.01 Agent -1 Patient +1 entity.n.01 ANA -5
p00/d0827,I'll buy a new one.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now buy.v.01 Agent -2 Time -1 Theme +2 new.a.05 AttributeOf +1 entity.n.01
p50/d1585,The drunken man couldn't walk straight.,could,could,neg,,Y,,,Y,,NEGATION;POSSIBILITY,drunken.a.01 AttributeOf +1 man.n.01 NEGATION <1 POSSIBILITY <1 walk.v.01 Theme -1 Manner +1 straight.r.03
p25/d2538,I should learn French.,should,should,,,,Y,,,,NECESSITY,person.n.01 EQU speaker NECESSITY <1 learn.v.01 Agent -1 Theme +1 french.n.01
p19/d2841,I haven't decided yet whether I will attend the party.,will,will,,,,,Y,Y,Y,CONTINUATION;NEGATION;TSU,person.n.01 EQU speaker NEGATION <1 decide.v.01 Proposition >1 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <0 person.n.01 EQU speaker time.n.08 TSU now attend.v.01 Agent -2 Time -1 Theme +1 party.n.04
p80/d2720,We must destroy the evidence.,must,must,,,,Y,,,,NECESSITY,person.n.01 Sub speaker NECESSITY <1 destroy.v.01 Agent -1 Patient +1 evidence.n.02
p08/d1655,We won't tolerate any looting.,wo,will,neg,,,,Y,Y,,NEGATION;TSU,person.n.01 Sub speaker NEGATION <1 time.n.08 TSU now tolerate.v.04 Agent -2 Time -1 Theme +1 looting.n.01
p09/d1743,They will not eat meat.,will,will,neg,,,,Y,Y,,NEGATION;TSU,person.n.01 NEGATION <1 time.n.08 TSU now eat.v.01 Agent -2 Time -1 Patient +1 meat.n.01
p17/d1913,We will sharpen the knives.,will,will,,,,,Y,,,TSU,person.n.01 Sub speaker time.n.08 TSU now sharpen.v.01 Agent -2 Time -1 Patient +1 knife.n.01
p10/d2242,I can prove it to you.,can,can,,,Y,,,,,POSSIBILITY,person.n.01 EQU speaker POSSIBILITY <1 prove.v.02 Agent -1 Topic +1 Recipient +2 entity.n.01 person.n.01 EQU hearer
p65/d3068,Tom thinks that Mary will leave.,will,will,,,,,Y,,Y,CONTINUATION;TSU,"male.n.02 Name ""Tom"" think.v.02 Proposition >1 Agent -1 Time +1 time.n.08 EQU now CONTINUATION <0 female.n.02 Name ""Mary"" time.n.08 TSU now leave.v.01 Theme -2 Time -1"
p04/d2980,Tom will meet Mary somewhere in Boston.,will,will,,,,,Y,,,TSU,"male.n.02 Name ""Tom"" time.n.08 TSU now meet.v.02 Theme -2 Time -1 Co-Theme +1 Location +2 female.n.02 Name ""Mary"" location.n.01 PartOf +1 city.n.01 Name ""Boston"""
p79/d3267,"Tom can speak French, too.",can,can,,,Y,,,,,POSSIBILITY,"male.n.02 Name ""Tom"" POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 french.n.01"
p77/d2171,Tom will hear you.,will,will,,,,,Y,,,TSU,"male.n.02 Name ""Tom"" time.n.08 TSU now hear.v.01 Experiencer -2 Time -1 Stimulus +1 person.n.01 EQU hearer"
p74/d3061,I cannot phone Marika. She lives in Finland!,can,can,neg,,Y,,,Y,Y,CONTINUATION;NEGATION;POSSIBILITY,"person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 phone.v.01 Agent -1 Theme +1 female.n.02 Name ""Marika"" CONTINUATION <1 female.n.02 live.v.01 Theme -1 Time +1 Location +2 time.n.08 EQU now country.n.02 Name ""Finland"""
p08/d3145,We'll arrive in three hours if we drive.,'ll,will,,,,,Y,,Y,PRECONDITION;TSU,person.n.01 Sub speaker time.n.08 TSU now arrive.v.01 Theme -2 Time -1 Duration +2 quantity.n.01 EQU 3 hour.n.01 Quantity -1 PRECONDITION <1 person.n.01 Sub speaker drive.v.02 Theme -1 Time +1 time.n.08 EQU now
p94/d3279,I can't speak English at all.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 english.n.01
p54/d1578,He can't buy himself a car.,ca,can,neg,,Y,,,Y,,NEGATION;POSSIBILITY,male.n.02 NEGATION <1 POSSIBILITY <1 buy.v.01 Agent -1 Theme +1 Beneficiary +2 male.n.02 ANA -2 car.n.01
p79/d2109,You'll regret it someday.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU hearer time.n.08 TSU now regret.v.01 Experiencer -2 Time -1 Stimulus +1 Time +2 entity.n.01 time.n.08 TSU now
p86/d3347,We'll cook.,'ll,will,,,,,Y,,,TSU,person.n.01 Sub speaker time.n.08 TSU now cook.v.01 Agent -2 Time -1
p01/d1760,I'll put it somewhere safe.,'ll,will,,,,,Y,,,TSU,person.n.01 EQU speaker time.n.08 TSU now put.v.01 Agent -2 Time -1 Theme +1 Location +2 entity.n.01 location.n.01 safe.a.01 AttributeOf -1
p30/d2886,We'll wait for Tom in the lobby.,'ll,will,,,,,Y,,,TSU,"person.n.01 Sub speaker time.n.08 TSU now wait.v.01 Theme -2 Time -1 Goal +1 Location +2 male.n.02 Name ""Tom"" lobby.n.01"
p02/d2787,Who could've broken the fishbowl?,could,could,,,Y,,,,,POSSIBILITY,person.n.01 Name ? POSSIBILITY <1 break.v.02 Agent -1 Time +1 Patient +2 time.n.08 TPR now fishbowl.n.02
