id	nl	mr	repair_head_sbn	repair_head_smatch	repair_mid_sbn	repair_mid_smatch	repair_tail_sbn	repair_tail_smatch	repair_interrug_sbn	repair_interrug_smatch	repair_head_nl	repair_mid_nl	repair_tail_nl
p88/d2105	There used to be a lot of frogs in this pond. 	entity.n.01 time.n.08 TPR now be.v.03 Time -1 EQU -2 Theme +1 Location +3 entity.n.01 Quantity + EQU +1 frog.n.01 pond.n.01									There is, used to be many, a lot of frogs in this pond.	There used to be a lot of catfish, frogs in this pond.	There used to be a lot of ducks, frogs in this pond.
p16/d2066	The Nazis wiped his name out of the history books. 	person.n.01 Role +1 nazi.n.01 wipe_out.v.05 Agent -2 Time +1 Theme +3 Source +5 time.n.08 TPR now male.n.02 name.n.01 User -1 history.n.02 book.n.01 Topic -1									The Red Army, the Nazis wiped his name out of the history books.	The Nazis carved, wiped his name out of the history books.	The Nazis wiped his name out of the history journals, the history books.
p02/d1703	We ran out of gas in the middle of the desert. 	person.n.01 Sub speaker run_out.v.01 Source -1 Time +1 Patient +2 Location +3 time.n.08 TPR now gas.n.03 middle.n.01 PartOf +1 desert.n.01									We ran into, ran out of gas in the middle of the desert.	We ran out of water, gas in the middle of the desert.	We ran out of gas in the middle of the ocean, the desert.
p14/d2169	The plane took off from Narita at 10 a.m. 	plane.n.01 take_off.v.01 Theme -1 Time +1 Source +2 Time +3 time.n.08 TPR now city.n.01 Name \"Narita\" time.n.08 ClockTime 10:00									The ferry, the plane took off from Narita at 10 a.m.	The plane landed, took off from Narita at 10 a.m.	The plane took off from Haneda, Narita at 10 a.m.
p62/d1751	It took Jane twenty hours to fly to Japan. 	time.n.08 TPR now female.n.02 Name \"Jane\" quantity.n.01 EQU 20 hour.n.01 Quantity -1 fly.v.01 Time -4 Theme -3 Duration -1 Destination +1 country.n.02 Name \"Japan\"									It lasted, took Jane twenty hours to fly to Japan.	It took Jane fifteen, twenty hours to fly to Japan.	It took Jane twenty hours to fly to Korea, Japan.
p10/d1486	The pilot raced for Ferrari from 1995 to 1999. 	person.n.01 Role +1 pilot.n.01 race.v.02 Agent -2 Time +1 Beneficiary +2 Start +3 Finish +4 time.n.08 TPR now company.n.01 Name \"Ferrari\" time.n.08 YearOfCentury 1995 time.n.08 YearOfCentury 1999									The passenger, the pilot raced for Ferrari from 1995 to 1999.	The pilot raced for McLaren, Ferrari from 1995 to 1999.	The pilot raced for Ferrari from 1995 to 2000, 1999.
p34/d3378	There is a bottle of wine on the table. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +2 Location +4 time.n.08 EQU now bottle.n.01 Theme +1 wine.n.01 table.n.01									Here, there is a bottle of wine on the table.	There is a glass, a bottle of wine on the table.	There is a bottle of wine on the floor, the table.
p95/d2926	He is carrying a parcel under his right arm. 	male.n.02 time.n.08 EQU now carry.v.01 Agent -2 Time -1 Theme +1 Location +2 parcel.n.01 location.n.01 SZN +3 male.n.02 ANA -5 right.a.01 AttributeOf +1 arm.n.01 PartOf -2									His sister, he is carrying a parcel under his right arm.	He is carrying a briefcase, a parcel under his right arm.	He is carrying a parcel under his left arm, his right arm.
p52/d1514	Tony carved his name in a tree with a knife. 	male.n.02 Name \"Tony\" carve.v.02 Agent -1 Time +1 Theme +3 Destination +4 Instrument +5 time.n.08 TPR now male.n.02 ANA -3 name.n.01 Bearer -1 tree.n.01 knife.n.01									Tony painted, carved his name in a tree with a knife.	Tony carved his name in a bamboo, a tree with a knife.	Tony carved his name in a tree with a spoon, a knife.
p71/d2966	If you are hungry, you can eat the bread. 	person.n.01 EQU hearer time.n.08 EQU now hungry.a.01 Experiencer -2 Time -1 CONSEQUENCE <1 person.n.01 EQU hearer POSSIBILITY <1 eat.v.01 Agent -1 Patient +1 bread.n.01									if I am, you are hungry, you can eat the bread.	If you are full, hungry, you can eat the bread.	If you are hungry, you can eat the cake, the bread.
p39/d1422	Her name was Linda, and she was a year younger than Tony. 	female.n.02 name.n.01 Bearer -1 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now name.n.01 EQU \"Linda\" CONTINUATION <1 female.n.02 ANA -5 time.n.08 TPR now year.n.01 Quantity 1 young.a.01 AttributeOf -3 Time -2 Degree +1 more.r.01 Theme -4 Value -2 Co-Theme +1 male.n.02 Name \"Tony\"									Her title, name was Linda, and she was a year younger than Tony.	Her name was Lucy, Linda and she was a year younger than Tony.	Her name was Linda, and she was a year, a month younger than Tony.
p81/d1740	Mix the rice with the eggs and the soy sauce. 	person.n.01 EQU hearer mix.v.01 Agent -1 Patient +1 Co-Patient +3 rice.n.01 egg.n.02 entity.n.01 Sub -1 Sub +1 soy_sauce.n.01									Ditch, mix the rice with the eggs and the soy sauce.	Mix the noodles, the rice with the eggs and the soy sauce.	Mix the rice with the eggs and the sour cream, the soy sauce.
p68/d0935	If you take this bus, you will reach the village. 	person.n.01 EQU hearer take.v.09 Agent -1 Time +1 Theme +2 time.n.08 EQU now bus.n.01 CONSEQUENCE <1 person.n.01 EQU hearer time.n.08 TSU now reach.v.01 Theme -2 Time -1 Destination +1 village.n.02									If you rent, take this bus, you will reach the village.	If you take this van, this bus, you will reach the village.	If you take this bus, you will reach the town, the village.
p07/d1959	Tom hid under his bed, but his mother found him. 	male.n.02 Name \"Tom\" hide.v.02 Agent -1 Time +1 Location +2 time.n.08 TPR now location.n.01 SZN +2 male.n.02 ANA -4 bed.n.01 User -1 CONTRAST <1 male.n.02 ANA -6 person.n.01 Role +1 mother.n.01 Of -2 find.v.03 Agent -2 Time +1 Theme +2 time.n.08 TPR now male.n.02 ANA -11									Tom slept, hid under his bed, but his mother found him.	Tom hid under the table, his bed, but his mother found him.	Tom hid under his bed, but his mother found him under his desk, his bed.
p55/d2236	The station is to the west of the hotel. 	station.n.01 be.v.03 Theme -1 Time +1 Location +2 time.n.08 EQU now west.n.08 Of +1 hotel.n.01									The museum, the station is to the west of the hotel.	The station is to the east, the west of the hotel.	The station is to the west of the hospital, the hotel.
p68/d1954	She used a damp rag to wipe off the dust. 	female.n.02 use.v.01 Agent -1 Time +1 Theme +3 Goal +4 time.n.08 TPR now damp.a.01 AttributeOf +1 rag.n.01 wipe_off.v.01 Agent -5 Theme +1 dust.n.01									He, she used a damp rag to wipe off the dust.	She used a dry, damp rag to wipe off the dust.	She used a dry rag, a damp rag to wipe off the dust.
p60/d1629	More than a hundred homes have been damaged by the flood. 	quantity.n.01 MOR +1 quantity.n.01 EQU 100 home.n.01 Quantity -2 time.n.08 TPR now damage.v.01 Patient -2 Time -1 Causer +1 flood.n.01									\"Less than, more than a hundred homes have been damaged by the flood.\"	More than a hundred schools, homes have been damaged by the flood.	More than a hundred homes have been damaged by the storm, the flood.
p01/d2630	Tom opened the freezer and got out the ice cream. 	male.n.02 Name \"Tom\" open.v.01 Agent -1 Time +1 Patient +2 time.n.08 TPR now freezer.n.01 get_out.v.02 Agent -4 Time +1 Theme +2 time.n.08 TPR now ice_cream.n.01									Jerry, Tom opened the freezer and got out the ice cream.	Tom opened the oven, the freezer and got out the ice cream.	Tom opened the freezer and got out the cake, the ice cream.
p67/d1777	That man died of lung cancer a week ago. 	man.n.01 die.v.01 Patient -1 Time +1 Causer +2 Time +4 time.n.08 TPR now lung_cancer.n.01 week.n.01 TAB now time.n.08 TAB -1									That woman, that man died of lung cancer a week ago.	That man died of throat, lung cancer a week ago.	That man died of lung cancer a week ago, a month ago.
p81/d1444	Tom put a bunch of letters on Mary's desk. 	male.n.02 Name \"Tom\" put.v.01 Agent -1 Time +1 Theme +3 Destination +6 time.n.08 TPR now bunch.n.01 entity.n.01 Sub -1 Sub +1 letter.n.01 female.n.02 Name \"Mary\" desk.n.01 User -1									Jerry, Tom put a bunch of letters on Mary's desk.	Tom put a stack, a bunch of letters on Mary's desk.	Tom put a bunch of letters on John's desk, Mary's desk.
p10/d1684	She handed him the money that she owed him. 	female.n.02 hand.v.01 Agent -1 Time +1 Destination +2 Theme +3 time.n.08 TPR now male.n.02 money.n.01 female.n.02 ANA -5 owe.v.01 Theme -2 Agent -1 Time +1 Beneficiary +2 time.n.08 TPR now male.n.02 ANA -5									He, she handed him the money that she owed him.	She handed him the bill, the money that she owed him.	She handed him the debt, the money that she owed him.
p35/d0168	Even though she is dieting, the chocolate cake still tempts her. 	female.n.02 time.n.08 EQU now diet.v.01 Agent -2 Time -1 CONTRAST <1 chocolate_cake.n.01 tempt.v.01 Stimulus -1 Time +1 Experiencer +2 time.n.08 EQU now female.n.02 ANA -6									Even though he is dieting, she is dieting, the chocolate cake still tempts her.	Even though she is dieting, the macarons, the chocolate cake still tempts her.	Even though she is dieting, the chocolate cake still tempts her, him.
p07/d0198	Even though she grew up in Japan, she speaks fluent English. 	female.n.02 grow_up.v.01 Patient -1 Time +1 Location +2 time.n.08 TPR now country.n.02 Name \"Japan\" CONTRAST <1 female.n.02 ANA -4 speak.v.03 Agent -1 Time +1 Theme +3 time.n.08 EQU now fluent.a.02 AttributeOf +1 english.n.01									Even though she travelled to, grew up in Japan, she speaks fluent English.	Even though she grew up in France, Japan, she speaks fluent English.	Even though she grew up in Japan, she speaks fluent French, English.
p34/d0334	Mérida is the capital of the state of Yucatán in Mexico. 	city.n.01 Name \"Mérida\" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now state_capital.n.01 PartOf +1 state.n.01 EQU +1 PartOf +2 state.n.01 Name \"Yucatán\" country.n.02 Name \"Mexico\"									Guadalajara, Mérida is the capital of the state of Yucatán in Mexico.	Mérida is the capital of the county, the state of Yucatán in Mexico.	Mérida is the capital of the state of Quintana Roo, Yucatán in Mexico.
p51/d1958	I was fined six thousand yen for a parking violation. 	person.n.01 EQU speaker time.n.08 TPR now fine.v.01 Recipient -2 Time -1 Asset +2 Theme +4 quantity.n.01 EQU 6000 yen.n.02 Quantity -1 park.v.01 Theme +1 violation.n.01									I was granted, fined six thousand yen for a parking violation.	I was fined five, six thousand yen for a parking violation.	I was fined six thousand yen for a speeding violation, a parking violation.
p35/d2733	The house in which we lived was torn down. 	house.n.01 entity.n.01 Location -1 EQU +2 person.n.01 Sub speaker live.v.01 Theme -1 Time +1 time.n.08 TPR now time.n.08 TPR now tear_down.v.01 Patient -6 Time -1									The cottage, the house in which we lived was torn down.	The house in which they, we lived was torn down.	The house in which we lived was watered, torn down.
p80/d0854	He is a good boy, and he is very strong. 	male.n.02 be.v.01 Theme -1 Time +1 Co-Theme +3 time.n.08 EQU now good.a.07 AttributeOf +1 boy.n.01 CONTINUATION <1 male.n.02 ANA -5 time.n.08 EQU now very.r.01 strong.a.01 AttributeOf -3 Time -2 Degree -1									She, he is a good boy, and he is very strong.	He is a bad, good boy, and he is very strong.	He is a good boy, and he is very smart, strong.
p90/d1734	He must be fined if he breaks the law. 	male.n.02 NECESSITY <1 fine.v.01 Recipient -1 PRECONDITION <1 male.n.02 ANA -2 break.v.06 Agent -1 Time +1 Theme +2 time.n.08 EQU now law.n.01									She, he must be fined if he breaks the law.	He must be rewarded, fined if he breaks the law.	He must be fined if he breaks the rule, the law.
p70/d2278	The voyage from England to India used to take 6 months. 	voyage.n.01 Source +1 Destination +2 country.n.02 Name \"England\" country.n.02 Name \"India\" time.n.08 TPR now take.v.02 Theme -4 Time -1 Value +2 quantity.n.01 EQU 6 month.n.01 Quantity -1									The trip, the voyage from England to India used to take 6 months.	The voyage from France, England to India used to take 6 months.	The voyage from England to India used to take 6 weeks, 6 months.
p04/d1656	He stood out because he was wearing a suit. 	male.n.02 stand_out.v.01 Theme -1 Time +1 time.n.08 TPR now EXPLANATION <1 male.n.02 ANA -3 time.n.08 TPR now wear.v.01 Agent -2 Time -1 Theme +1 suit.n.01									John, he stood out because he was wearing a suit.	He stood out because she, he was wearing a suit.	He stood out because he was wearing a hat, a suit.
p52/d2122	We are forty kilometers away from the capital city. 	person.n.01 Sub speaker time.n.08 EQU now quantity.n.01 EQU 40 kilometer.n.01 Quantity -1 away.r.05 Theme -4 Time -3 Value -1 Co-Theme +2 capital.n.03 city.n.01 Role -1									Our enemies, we are forty kilometers away from the capital city.	We are twenty, forty kilometers away from the capital city.	We are forty kilometers away from the coastal town, the capital city.
p73/d1730	Cycling is good exercise. Moreover, it doesn't pollute the air. 	cycling.n.01 be.v.01 Theme -1 Time +1 Co-Theme +3 time.n.08 EQU now good.a.01 AttributeOf +1 exercise.n.01 CONTINUATION <1 entity.n.01 ANA -5 NEGATION <1 time.n.08 EQU now pollute.v.01 Causer -2 Time -1 Patient +1 air.n.01									Walking, cycling is good exercise. Moreover, it doesn't pollute the air.	Cycling is swimming, good exercise. Moreover, it doesn't pollute the air.	Cycling is good exercise. Moreover, it doesn't pollute the water, the air.
p19/d1455	Tom doesn't drink much beer, but he sure drinks a lot of wine. 	male.n.02 Name \"Tom\" NEGATION <1 time.n.08 EQU now drink.v.01 Agent -2 Time -1 Patient +1 beer.n.01 Quantity + CONTRAST <1 male.n.02 ANA -4 drink.v.01 Agent -1 Time +1 Patient +2 time.n.08 EQU now entity.n.01 Quantity + EQU +1 wine.n.01									Jerry, Tom doesn't drink much beer, but he sure drinks a lot of wine.	Tom doesn't drink much whiskey, beer, but he sure drinks a lot of wine.	Tom doesn't drink much beer, but he sure drinks a lot of water, wine.
p42/d2121	There are nine girls and three boys in the library. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +4 Location +7 time.n.08 EQU now quantity.n.01 EQU 9 girl.n.01 Quantity -1 entity.n.01 Sub -1 Sub +2 quantity.n.01 EQU 3 boy.n.01 Quantity -1 library.n.03									Twelve, nine girls and three boys in the library.	There are six, nine girls and three boys in the library.	There are nine girls and three boys in the cafeteria, the library.
p83/d1387	What ship did the oil tanker \"New World\" crash into? 	ship.n.01 Name ? time.n.08 TPR now oil_tanker.n.01 Name \"New World\" crash.v.03 Patient -3 Time -2 Theme -1									"Which car, what ship did the oil tanker \""New World\"" crash into? "	What ship did the cargo ship, the oil tanker \"New World\" crash into?	What ship did the oil tanker \"New World\" crash into, collide with?
p33/d1182	In 1960, the company added polyacrylonitrile staple fibers to its range. 	time.n.08 YearOfCentury 1960 company.n.01 add.v.01 Time -2 Agent -1 Time +1 Theme +3 Destination +5 time.n.08 TPR now polyacrylonitrile.n.01 staple_fiber.n.01 MadeOf -1 entity.n.01 ANA -5 range.n.06 Creator -1									In 1955, in 1960, the company added polyacrylonitrile staple fibers to its range.	In 1960, the company added polyester, polyacrylonitrile staple fibers to its range.	In 1960, the company added polyacrylonitrile staple fibers to its range, polyethylene fibers.
p76/d2223	He who sleeps with dogs gets up with fleas. 	NEGATION <1 person.n.01 EQU +1 entity.n.01 sleep.v.01 Agent -1 Co-Agent +1 dog.n.01 NEGATION <1 get_up.v.02 Theme -3 Co-Theme +1 flea.n.01									She, he who sleeps with dogs gets up with fleas.	He who sleeps with cats, dogs gets up with fleas.	He who sleeps with dogs gets up with lice, fleas.
p55/d2741	We export a lot of automobiles to that country. 	person.n.01 Sub speaker export.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now entity.n.01 Quantity + EQU +1 Recipient +2 automobile.n.01 country.n.02									We import, export a lot of automobiles to that country.	We export a lot of motorcycles, automobiles to that country.	We export a lot of airplanes, automobiles to that country.
p13/d0042	The dog is jumping in the shade of some trees 	dog.n.01 time.n.08 EQU now jump.v.01 Theme -2 Time -1 Location +1 shade.n.01 Causer +1 tree.n.01									The cat, the dog is jumping in the shade of some trees.	The dog is barking, jumping in the shade of some trees.	The dog is jumping in the shade of some bushes, trees.
p80/d2462	All of a sudden, my mother began to sing. 	all_of_a_sudden.r.01 person.n.01 EQU speaker person.n.01 Role +1 mother.n.01 Of -2 begin.v.01 Manner -4 Time +1 PartOf +2 time.n.08 TPR now sing.v.02 Agent -4									All of a sudden, my sister, my mother began to sing.	All of a sudden, my father, my mother began to sing.	All of a sudden, my mother began to dance, sing.
p95/d2479	The white horse is taller than the black one. 	white.a.01 horse.n.01 Colour -1 time.n.08 EQU now tall.a.01 AttributeOf -2 Time -1 Degree +1 more.r.01 Theme -3 Co-Theme +2 black.a.01 horse.n.01 Colour -1									The brown horse, the white horse is taller than the black one.	The white horse is shorter, taller than the black one.	The white horse is taller than the brown one, the black one.
p21/d1709	It was the first gold medal that she had won. 	entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now gold_medal.n.01 Order 1 female.n.02 win.v.01 Theme -2 Agent -1 Time +1 time.n.08 TPR now									"It was the second, the first gold medal that she had won."	It was the first ribben, gold medal that she had won.	It was the first gold medal that she had lost, won.
p31/d1454	It took me three days to read through this book. 	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 3 day.n.01 Quantity -1 read.v.01 Time -4 Experiencer -3 Duration -1 Stimulus +1 book.n.01									It took my colleague, me three days to read through this book.	It took me two, three days to read through this book.	It took me three days to read through this magazine, this book.
p75/d2844	The pen I am writing with belongs to Tom. 	pen.n.01 person.n.01 EQU speaker time.n.08 EQU now write.v.05 Instrument -3 Agent -2 Time -1 belong.v.01 Theme -4 Time +1 Pivot +2 time.n.08 EQU now male.n.02 Name \"Tom\"									The pencil, the pen I am writing with belongs to Tom.	The pen I am darwing, writing with belongs to Tom.	The pen I am writing with belongs to Jerry, Tom.
p50/d2517	He has a new car and an old car. 	male.n.02 have.v.04 Pivot -1 Time +1 Theme +4 time.n.08 EQU now new.a.01 Value + car.n.01 Attribute -1 entity.n.01 Sub -1 Sub +2 old.a.02 Value + car.n.01 Attribute -1									She, he has a new car and an old car.	He has a motorcycle, a new car and an old car.	He has a new car and a used car, an old car.
p03/d0047	The men are not fist fighting in a ring 	man.n.01 NEGATION <1 time.n.08 EQU now fistfight.v.01 Agent -2 Time -1 Location +1 ring.n.07									The women, the men are not fist fighting in a ring.	The men are not wrestling, fist fighting in a ring	The men are not fist fighting in a pool, a ring.
p22/d3342	This is my coat, and that is my father's. 	entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +3 time.n.08 EQU now person.n.01 EQU speaker coat.n.01 User -1 CONTINUATION <1 entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +5 time.n.08 EQU now person.n.01 EQU speaker person.n.01 Role +1 father.n.01 Of -2 coat.n.01 User -2									Your, this is my coat, and that is my father's.	This is my scarf, my coat, and that is my father's.	This is my coat, and that is my mother's, my father's.
p78/d3170	The peacock (Inachis io) is a beautiful and easily recognizable butterfly. 	NEGATION <1 peacock.n.01 inachis_io.n.01 EQU -1 NEGATION <1 be.v.01 Theme -2 Time +1 Co-Theme +5 time.n.08 EQU now beautiful.a.01 AttributeOf +3 easily.r.01 recognizable.a.01 AttributeOf +1 butterfly.n.01 Role -2									The swallow, the peacock (Inachis io) is a beautiful and easily recognizable butterfly.	The peacock (Inachis io) is an ugly, a beautiful and easily recognizable butterfly.	The peacock (Inachis io) is a beautiful and easily recognizable moth, butterfly.
p22/d1697	The ship capsized in the middle of the ocean. 	ship.n.01 capsize.v.01 Theme -1 Time +1 Location +2 time.n.08 TPR now middle.n.01 PartOf +1 ocean.n.01									The boat, the ship capsized in the middle of the ocean.	The ship sank, capsized in the middle of the ocean.	The ship capsized in the middle of the lake, the ocean.
p59/d2149	He knows I don't like face to face meetings. 	male.n.02 know.v.01 Proposition >1 Experiencer -1 Time +1 time.n.08 EQU now CONTINUATION <0 person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now like.v.02 Experiencer -2 Time -1 Stimulus +2 face_to_face.r.01 AttributeOf +1 meeting.n.02									Face to face, he knows I don't like face to face meetings.	He knows we, I don't like face to face meetings.	He knows I don't like face to face calls, meetings.
p69/d0896	The Titanic sank on her maiden voyage. She was a large ship. 	vehicle.n.01 Name \"Titanic\" sink.v.04 Patient -1 Time +1 Context +3 time.n.08 TPR now entity.n.01 ANA -3 maiden_voyage.n.01 Theme -1 CONTINUATION <1 entity.n.01 ANA -5 be.v.01 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now large.a.01 Value + ship.n.01 Attribute -1									The Olympic, the Titanic sank on her maiden voyage. She was a large ship.	The Titanic sank on his, her maiden voyage. She was a large ship.	The Titanic sank on her maiden voyage. She was a small, large ship.
p02/d3068	She has been studying French for a few years. 	female.n.02 time.n.08 TPR now study.v.04 Agent -2 Time -1 Theme +1 Duration +2 french.n.01 year.n.01 Quantity -									He, she has been studying French for a few years.	She has been studying Spanish, French for a few years.	She has been studying French for a few months, years.
p69/d1768	I helped my mother even though I was busy. 	person.n.01 EQU speaker help.v.01 Agent -1 Time +1 Beneficiary +3 time.n.08 TPR now person.n.01 EQU speaker person.n.01 Role +1 mother.n.01 Of -2 CONTRAST <1 person.n.01 EQU speaker time.n.08 TPR now busy.a.01 AttributeOf -2 Time -1									I helped my sister, my mother even though I was busy.	I helped my my mother when, even though I was busy.	I helped my mother even though I was tired, busy.
p44/d2262	He hit a home run in the first inning. 	male.n.02 hit.v.08 Agent -1 Time +1 Theme +2 Context +3 time.n.08 TPR now home_run.n.01 inning.n.01 Order 1									She, he hit a home run in the first inning.	He hit a single, a home run in the first inning.	He hit a home run in the first at-bat, inning.
p13/d0827	According to the papers, the man has finally confessed. 	according.a.02 Proposition >1 Source +1 paper.n.03 CONTINUATION <0 man.n.01 finally.r.01 confess.v.01 Agent -2 Manner -1 Time +1 time.n.08 TPR now									Despite, according to the papers, the man has finally confessed.	According to the reports, the papers, the man has finally confessed.	According to the papers, the man has finally denied, confessed.
p63/d2045	Tom's computer crashed and he lost a number of important documents. 	male.n.02 Name \"Tom\" computer.n.01 User -1 crash.v.12 Patient -1 Time +1 time.n.08 TPR now CONTINUATION <1 male.n.02 ANA -4 lose.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now entity.n.01 Quantity + EQU +2 important.a.01 AttributeOf +1 document.n.04									Jerry's, Tom's computer crashed and he lost a number of important documents.	Tom's computer crashed and he lost a file, a number of important documents.	Tom's computer crashed and he lost a number of unimportant, important documents.
p96/d1383	What is the name of the airport in Amsterdam? 	entity.n.01 EQU ? be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now name.n.01 Bearer +1 airport.n.01 Location +1 city.n.01 Name \"Amsterdam\"									Whose, what is the name of the airport in Amsterdam? 	What is the name of the train station, the airport in Amsterdam?	What is the name of the train station, the airport in Amsterdam?
p77/d0765	Christie's is one of the world's largest auction houses.	company.n.01 Name \"Christie's\" be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now entity.n.01 Quantity 1 SubOf +4 world.n.04 large.a.01 Degree +1 most.r.01 auction_house.n.01 Location -3 Attribute -2									Sotheby's, Christie's is one of the world's largest auction houses.	Christie's is one of the country's, the world's largest auction houses.	Christie's is one of the world's largest art galleries, auction houses.
p01/d2941	As soon as he sat down, he picked up the telephone. 	male.n.02 sit_down.v.01 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <1 male.n.02 ANA -3 pick_up.v.02 Agent -1 Time +1 Theme +2 time.n.08 TPR now telephone.n.01									Before, as soon as he sat down, he picked up the telephone.	As soon as he sat down, she, he picked up the telephone.	As soon as he sat down, he picked up the radio, the telephone.
p36/d2572	Tom wrote Mary a love letter, but he did not send it. 	male.n.02 Name \"Tom\" write.v.02 Agent -1 Time +1 Recipient +2 Topic +3 time.n.08 TPR now female.n.02 Name \"Mary\" love_letter.n.01 CONTRAST <1 male.n.02 ANA -5 NEGATION <1 time.n.08 TPR now send.v.03 Agent -2 Time -1 Theme +1 entity.n.01 ANA -4									Mary, Tom wrote Mary a love letter, but he did not send it.	Tom wrote John, Mary a love letter, but he did not send it.	Tom wrote Mary a love letter, but he did not send it, a hate letter, but he did not send it.
p25/d2518	If you want a pen, I will lend you one. 	person.n.01 EQU hearer want.v.01 Pivot -1 Time +1 Theme +2 time.n.08 EQU now pen.n.01 CONSEQUENCE <1 person.n.01 EQU speaker time.n.08 TSU now lend.v.02 Agent -2 Time -1 Recipient +1 Theme +2 person.n.01 EQU hearer pen.n.01									If you have, want a pen, I will lend you one.	If you want a pencil, a pen, I will lend you one.	If you want a pen, I will lend you a pencil, one.
p84/d0920	She promised me that she would clean my room. 	female.n.02 promise.v.01 Proposition >1 Agent -1 Time +1 Recipient +2 time.n.08 TPR now person.n.01 EQU speaker CONTINUATION <0 female.n.02 ANA -4 time.n.08 TSU now clean.v.02 Agent -2 Time -1 Source +2 person.n.01 EQU speaker room.n.01 User -1									She threatened, promised me that she would clean my room.	She promised me that he, she would clean my room.	She promised me that she would clean my kitchen, my room.
p60/d1822	The town is two miles away from the coast. 	town.n.01 time.n.08 EQU now quantity.n.01 EQU 2 mile.n.01 Quantity -1 away.r.05 Theme -4 Time -3 Value -1 Co-Theme +1 coast.n.01									The village, the town is two miles away from the coast.	The town is three, two miles away from the coast.	The town is two miles away from the river, the coast.
p52/d3453	A large rock is large; a small one is small. 	NEGATION <1 large.a.01 Value + rock.n.01 Attribute -1 NEGATION <1 time.n.08 EQU now large.a.01 AttributeOf -2 Time -1 CONTRAST <1 NEGATION <1 small.a.01 Value + rock.n.01 Attribute -1 NEGATION <1 time.n.08 EQU now small.a.01 AttributeOf -2 Time -1									A dark, a large rock is large; a small one is small.	A large boulder, a rock is large; a small one is small.	A large rock is large; a small one is big, small.
p51/d2559	The cow gave birth to a calf with two heads. 	cow.n.01 give_birth.v.01 Agent -1 Time +1 Patient +2 time.n.08 TPR now calf.n.01 Part +2 quantity.n.01 EQU 2 head.n.01 Quantity -1									A goat, the cow gave birth to a calf with two heads.	The cow gave birth to a bull, a calf with two heads.	The cow gave birth to a calf with two tails, two heads.
p39/d0712	The Mexican Association of Catholic Youth was lead by René Capistran Garza.	religion.n.02 Name \"Mexican Association of Catholic Youth\" time.n.08 TPR now lead.v.07 Theme -2 Time -1 Agent +1 male.n.02 Name \"René Capistran Garza\"									The Mexican Association of Buddhism, the Mexican Association of Catholic Youth was lead by René Capistran Garza.	The Mexican Association of Catholic Youth was grazed, lead by René Capistran Garza.	The Mexican Association of Catholic Youth was lead by Ximena, René Capistran Garza.
p30/d3369	It will take me 20 minutes to get to the station by taxi. 	time.n.08 TSU now person.n.01 EQU speaker quantity.n.01 EQU 20 minute.n.01 Quantity -1 get.v.05 Time -4 Theme -3 Duration -1 Destination +1 Instrument +2 station.n.01 taxi.n.01									It will take us, me 20 minutes to get to the station by taxi.	It will take me 15, 20 minutes to get to the station by taxi.	It will take me 20 minutes to get to the station by bus, taxi.
p97/d2598	We saw the boat tossing on the stormy sea. 	person.n.01 Sub speaker see.v.01 Experiencer -1 Time +1 Stimulus +2 time.n.08 TPR now boat.n.01 toss.v.04 Theme -1 Location +2 stormy.a.01 AttributeOf +1 sea.n.01									We detected, saw the boat tossing on the stormy sea.	We saw the car, the boat tossing on the stormy sea.	We saw the boat tossing on the calm, the stormy sea.
p01/d1238	Mr Jenninger will take the witness stand on 13 May. 	mr.n.01 male.n.02 Name \"Jenninger\" Title -1 time.n.08 TSU now take.v.22 Theme -2 Time -1 Location +1 Time +3 witness_stand.n.01 time.n.08 DayOfMonth 13 EQU +1 time.n.08 MonthOfYear 5									Mr Kessler, Mr Jenninger will take the witness stand on 13 May.	Mr Jenninger will take the defendant, the witness stand on 13 May.	Mr Jenninger will take the witness stand on 12 May, 13 May.
p32/d3363	Mt. Fuji is not as high as Mt. Everest. 	mountain.n.01 Name \"mount fuji\" NEGATION <1 time.n.08 EQU now as.r.01 Theme -2 Co-Theme +2 high.a.02 AttributeOf -3 Time -2 Degree -1 mountain.n.01 Name \"mount everest\"									Mt. Kilimanjaro, Mt. Fuji is not as high as Mt. Everest.	Mt. Fuji is not as wide, high as Mt. Everest.	Mt. Fuji is not as high as Mt. Etna, Mt. Everest.
