<built-in function id>	nl	mr	repair_head_nl	repair_head_sbn	repair_head_smatch	repair_mid_nl	repair_mid_sbn	repair_mid_smatch	repair_tail_nl	repair_tail_sbn	repair_tail_smatch	repair_interrug_nl	repair_interrug_sbn	repair_interrug_smatch
p97/d2598	We saw the boat tossing on the stormy sea. 	person.n.01 Sub speaker see.v.01 Experiencer -1 Time +1 Stimulus +2 time.n.08 TPR now boat.n.01 toss.v.04 Theme -1 Location +2 stormy.a.01 AttributeOf +1 sea.n.01												
p01/d1238	Mr Jenninger will take the witness stand on 13 May. 	"mr.n.01 male.n.02 Name ""Jenninger"" Title -1 time.n.08 TSU now take.v.22 Theme -2 Time -1 Location +1 Time +3 witness_stand.n.01 time.n.08 DayOfMonth 13 EQU +1 time.n.08 MonthOfYear 5"												
p32/d3363	Mt. Fuji is not as high as Mt. Everest. 	"mountain.n.01 Name ""mount fuji"" NEGATION <1 time.n.08 EQU now as.r.01 Theme -2 Co-Theme +2 high.a.02 AttributeOf -3 Time -2 Degree -1 mountain.n.01 Name ""mount everest"""												
p96/d0127	Washington, D.C., is the capital of the United States of America. 	"city.n.01 Name ""Washington, D.C."" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now national_capital.n.01 PartOf +1 country.n.02 Name ""United States of America"""												
p40/d0005	A child is wearing a yellow jacket and is jumping on a rock 	child.n.01 time.n.08 EQU now wear.v.01 Agent -2 Time -1 Theme +2 yellow.a.01 jacket.n.01 Colour -1 time.n.08 EQU now jump.v.01 Theme -6 Time -1 Destination +1 rock.n.01												
p83/d2573	The talk was peppered with scientific jargon that no one understood. 	talk.n.04 time.n.08 TPR now pepper.v.02 Destination -2 Time -1 Theme +2 scientific.a.01 AttributeOf +1 jargon.n.03 NEGATION <1 entity.n.01 EQU -1 person.n.01 understand.v.02 Stimulus -2 Experiencer -1 Time +1 time.n.08 TPR now												
p32/d1512	The person who shot JFK worked for the CIA. 	"person.n.01 shoot.v.01 Agent -1 Time +1 Patient +2 time.n.08 TPR now male.n.02 Name ""JFK"" work.v.02 Agent -4 Time +1 Co-Agent +2 time.n.08 TPR now agency.n.01 Name ""CIA"""												
p10/d3493	The company spends a lot of money on advertising. 	company.n.01 spend.v.02 Agent -1 Time +1 Asset +2 Theme +4 time.n.08 EQU now entity.n.01 Quantity + EQU +1 money.n.01 advertising.n.02												
p81/d2490	Tom apologized to Mary for his son's impolite remarks. 	"male.n.02 Name ""Tom"" apologize.v.01 Agent -1 Time +1 Recipient +2 Causer +7 time.n.08 TPR now female.n.02 Name ""Mary"" male.n.02 ANA -4 person.n.01 Role +1 son.n.01 Of -2 impolite.a.01 AttributeOf +1 remark.n.01 Creator -3"												
p75/d1925	My grandfather got seriously injured by a bomber during the war. 	person.n.01 EQU speaker person.n.01 Role +1 grandfather.n.01 Of -2 time.n.08 TPR now seriously.r.01 injure.v.01 Patient -4 Time -2 Manner -1 Agent +1 Duration +3 person.n.01 Role +1 bomber.n.02 war.n.01												
p74/d2359	A top-class shearer can shear up to 150 sheep in one day. 	NEGATION <1 first-class.a.01 AttributeOf +2 person.n.01 Role +1 shearer.n.03 NEGATION <1 POSSIBILITY <1 shear.v.02 Agent -2 Source +3 Duration +5 quantity.n.01 TOP +1 quantity.n.01 EQU 150 sheep.n.01 Quantity -2 quantity.n.01 EQU 1 day.n.01 Quantity -1												
p30/d2486	The Canadian chopped down the tree with an ax. 	"person.n.01 Source +1 country.n.02 Name ""canada"" chop_down.v.01 Agent -2 Time +1 Patient +2 Instrument +3 time.n.08 TPR now tree.n.01 ax.n.01"												
p92/d0013	A man and a woman are standing on the curb 	man.n.01 entity.n.01 Sub -1 Sub +1 woman.n.01 time.n.08 EQU now stand.v.03 Theme -3 Time -1 Location +1 curb.n.01												
p12/d2176	Tom grabbed his umbrella and headed for the elevator. 	"male.n.02 Name ""Tom"" grab.v.03 Agent -1 Time +1 Theme +3 time.n.08 TPR now male.n.02 ANA -3 umbrella.n.01 User -1 head.v.01 Theme -5 Time +1 Destination +2 time.n.08 TPR now elevator.n.01"												
p08/d2732	A truck was standing in the middle of the road. 	truck.n.01 time.n.08 TPR now stand.v.03 Theme -2 Time -1 Location +1 middle.n.01 PartOf +1 road.n.01												
p92/d2924	Tom arrived at the train station at 3 o'clock. 	"male.n.02 Name ""Tom"" arrive.v.01 Theme -1 Time +1 Destination +2 Time +3 time.n.08 TPR now train_station.n.01 time.n.08 ClockTime 15:00"												
p81/d0852	About two million pounds of flour are exported annually. 	NEGATION <1 year.n.01 NEGATION <1 quantity.n.01 APX 2000000 pound.n.01 Quantity -1 Quantity +1 flour.n.01 time.n.08 EQU now export.v.01 Time -5 Theme -3 Time -1												
p23/d1469	Helium, neon, argon, krypton, xenon and radon are noble gases. 	helium.n.01 neon.n.01 argon.n.01 krypton.n.01 xenon.n.01 entity.n.01 Sub -1 Sub +1 radon.n.01 be.v.01 Theme -7 Time +5 Co-Theme +11 be.v.01 Theme -7 Time +5 Co-Theme +11 be.v.01 Theme -7 Time +5 Co-Theme +11 be.v.01 Theme -7 Time +5 Co-Theme +11 be.v.01 Theme -6 Time +5 Co-Theme +6 time.n.08 EQU now time.n.08 EQU now time.n.08 EQU now time.n.08 EQU now time.n.08 EQU now noble_gas.n.01 noble_gas.n.01 noble_gas.n.01 noble_gas.n.01 noble_gas.n.01												
p60/d3423	Rugby is a sport which is never called off by rain. 	rugby.n.01 be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now sport.n.01 NEGATION <1 time.n.08 EQU now call_off.v.01 Theme -2 Time -1 Causer +1 rain.n.01												
p75/d2660	In 1958, the statue was built in the Hiroshima Peace Park. 	"time.n.08 YearOfCentury 1958 statue.n.01 time.n.08 TPR now build.v.01 Time -3 Product -2 Time -1 Location +1 park.n.01 Name ""Hiroshima Peace Park"""												
p48/d2786	Mary was bullied at school because her mother was grossly overweight. 	"female.n.02 Name ""Mary"" time.n.08 TPR now bully.v.02 Patient -2 Time -1 Location +1 school.n.01 EXPLANATION <1 female.n.02 ANA -4 person.n.01 Role +1 mother.n.01 Of -2 time.n.08 TPR now grossly.r.01 overweight.a.01 AttributeOf -4 Time -2 Degree -1"												
p81/d3208	Julio is swinging in the hammock that I hung under the old oak tree. 	"male.n.02 Name ""Julio"" time.n.08 EQU now swing.v.02 Theme -2 Time -1 Location +1 hammock.n.02 person.n.01 EQU speaker hang.v.02 Theme -2 Agent -1 Time +1 Destination +2 time.n.08 TPR now location.n.01 SZN +2 old.a.02 Value + oak_tree.n.01 Attribute -1"												
p99/d1395	What canal is between the Mediterranean Sea and the Red Sea? 	"canal.n.03 Name ? be.v.02 Theme -1 Time +1 Location +2 time.n.08 EQU now location.n.01 SY2 +2 sea.n.01 Name ""Mediterranean Sea"" entity.n.01 Sub -1 Sub +1 sea.n.01 Name ""Red Sea"""												
p01/d0050	The woman is not picking up a baby kangaroo 	woman.n.01 NEGATION <1 time.n.08 EQU now pick_up.v.01 Agent -2 Time -1 Theme +2 baby.n.06 kangaroo.n.01 Theme -1												
p94/d0962	An Alzheimer patient was in Michigan for an assisted suicide.	"alzheimers.n.01 person.n.01 Role +1 patient.n.01 Causer -2 be.v.03 Theme -2 Time +1 Location +2 Goal +3 time.n.08 TPR now state.n.01 Name ""Michigan"" assisted_suicide.n.01"												
p17/d2404	Napoleon was exiled to the island of Elba in 1814. 	"male.n.02 Name ""Napoleon"" time.n.08 TPR now exile.v.01 Theme -2 Time -1 Destination +1 Time +3 island.n.01 EQU +1 island.n.01 Name ""Elba"" time.n.08 YearOfCentury 1814"												
p60/d2409	The curtain fell amid the wild applause of the audience. 	curtain.n.01 fall.v.02 Theme -1 Time +1 Context +3 time.n.08 TPR now wild.a.03 AttributeOf +1 applause.n.01 Creator +1 audience.n.01												
p61/d2597	There are a lot of eggs in the box. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +2 Location +4 time.n.08 EQU now entity.n.01 Quantity + EQU +1 egg.n.02 box.n.01												
p40/d2618	Tom grabbed his keys and put them into his pocket. 	"male.n.02 Name ""Tom"" grab.v.02 Agent -1 Time +1 Theme +3 time.n.08 TPR now male.n.02 ANA -3 key.n.01 User -1 put.v.01 Agent -5 Time +1 Theme +2 Destination +4 time.n.08 TPR now entity.n.01 ANA -3 male.n.02 ANA -8 pocket.n.01 User -1"												
p18/d1800	This is the boy whose name is Tom Fisher. 	"entity.n.01 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now boy.n.01 name.n.01 Bearer -1 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now name.n.01 EQU ""Tom Fisher"""												
p00/d2492	Tycho Brahe benefited greatly from King Fredrik's generous support. 	"male.n.02 Name ""Tycho Brahe"" benefit.v.01 Beneficiary -1 Time +1 Manner +2 Causer +6 time.n.08 TPR now greatly.r.01 king.n.01 male.n.02 Name ""Fredrik"" Title -1 generous.a.01 AttributeOf +1 support.n.01 Creator -2"												
p52/d1854	He picked up the rifle and aimed it at the target. 	male.n.02 pick_up.v.02 Agent -1 Time +1 Theme +2 time.n.08 TPR now rifle.n.01 aim.v.01 Agent -4 Time +1 Theme +2 Destination +3 time.n.08 TPR now entity.n.01 ANA -3 target.n.01												
p17/d0820	I tied my dog to the tree in the yard. 	person.n.01 EQU speaker tie.v.01 Agent -1 Time +1 Patient +3 Co-Patient +4 Location +5 time.n.08 TPR now person.n.01 EQU speaker dog.n.01 Owner -1 tree.n.01 yard.n.02												
p88/d3058	He pulled up the weed and threw it away. 	male.n.02 pull_up.v.04 Agent -1 Time +1 Theme +2 time.n.08 TPR now weed.n.01 throw_away.v.01 Agent -4 Time +1 Theme +2 time.n.08 TPR now entity.n.01 ANA -3												
p13/d1719	His plane leaves for Hong Kong at 2:00 p.m. 	"male.n.02 plane.n.01 User -1 leave.v.01 Theme -1 Time +1 Destination +2 Time +3 time.n.08 TSU now region.n.03 Name ""Hong Kong"" time.n.08 ClockTime 14:00"												
p17/d3018	The dog hid under the bed whenever lightning flashed. 	dog.n.01 hide.v.02 Agent -1 Time +1 Location +2 time.n.08 TPR now location.n.01 SZN +1 bed.n.01 CONTINUATION <1 lightning.n.01 flash.v.01 Theme -1 Time +1 time.n.08 TPR now												
p04/d1391	"Who played the title role in the movie ""Ben-Hur""? "	"person.n.01 Name ? play.v.04 Agent -1 Time +1 Theme +2 Context +3 time.n.08 TPR now title_role.n.01 movie.n.01 Name ""Ben-Hur"" movie.n.01 EQU -1"												
p35/d1383	What is the oldest national park in the U.S.? 	"entity.n.01 Name ? be.v.02 Theme -1 Time +1 Co-Theme +4 time.n.08 EQU now old.a.02 Degree +1 most.r.01 national_park.n.01 Attribute -2 Location +1 country.n.02 Name ""us"""												
p48/d2989	She traveled from Boston to San Francisco via Chicago. 	"female.n.02 travel.v.01 Theme -1 Time +1 Source +2 Destination +3 Path +4 time.n.08 TPR now city.n.01 Name ""Boston"" city.n.01 Name ""San Francisco"" city.n.01 Name ""Chicago"""												
p40/d3126	He told me to meet him at 1 o'clock at the airport. 	male.n.02 tell.v.01 Agent -1 Time +1 Recipient +2 Topic +3 time.n.08 TPR now person.n.01 EQU speaker meet.v.01 Theme -1 Co-Theme +1 Time +2 Location +3 male.n.02 ANA -5 time.n.08 ClockTime 13:00 airport.n.01												
p08/d0758	A Belgian policeman posing as an art dealer in Brussels arrested three Swedes.	"country.n.02 Name ""Belgium"" person.n.01 Source -1 Role +1 policeman.n.01 pose.v.03 Agent -2 Attribute +1 Location +3 person.n.01 Role +1 art_dealer.n.01 city.n.01 Name ""Brussels"" arrest.v.01 Agent -6 Time +1 Patient +3 time.n.08 TPR now quantity.n.01 EQU 3 person.n.01 Quantity -1 Source +1 country.n.02 Name ""Sweden"""												
p00/d1383	What roller coaster is the fastest in the world? 	roller_coaster.n.02 Name ? be.v.02 Co-Theme -1 Time +1 Theme +4 Location +5 time.n.08 EQU now fast.a.01 Degree +1 most.r.01 entity.n.01 Attribute -2 world.n.04												
p56/d1383	"What war is connected with the book ""Charge of the Light Brigade""? "	"war.n.01 Name ? time.n.08 EQU now connect.v.02 Patient -2 Time -1 Co-Patient +1 book.n.01 EQU +1 book.n.01 Name ""Charge of the Light Brigade"""												
p35/d3461	This sort of music is not my cup of tea. 	entity.n.01 InstanceOf +1 music.n.01 NEGATION <1 be.v.02 Theme -2 Time +1 Co-Theme +3 time.n.08 EQU now person.n.01 EQU speaker cup_of_tea.n.01 Experiencer -1												
p22/d1892	The post office is located in the center of the town. 	post_office.n.01 time.n.08 EQU now located.a.01 Theme -2 Time -1 Location +1 center.n.01 PartOf +1 town.n.01												
p50/d2174	Anybody who wants this book can be given it. 	NEGATION <1 person.n.01 EQU +1 entity.n.01 want.v.01 Pivot -1 Time +1 Theme +2 time.n.08 EQU now book.n.02 NEGATION <1 POSSIBILITY <1 give.v.03 Recipient -4 Theme +1 entity.n.01 ANA -2												
p06/d2060	We were mesmerized by the pulsating glow of the embers. 	person.n.01 Sub speaker time.n.08 TPR now mesmerize.v.01 Experiencer -2 Time -1 Stimulus +2 pulsate.v.01 Theme +1 glow.n.03 Causer +1 ember.n.01												
p98/d2835	Muskrats are responsible for the destruction of dams and dikes. 	muskrat.n.02 time.n.08 EQU now responsible.a.02 Agent -2 Time -1 Result +1 destruction.n.01 Patient +2 dam.n.01 entity.n.01 Sub -1 Sub +1 dike.n.02												
p50/d2916	She was worn out, and leaned against the apple tree. 	female.n.02 time.n.08 TPR now worn_out.a.01 Theme -2 Time -1 lean.v.01 Theme -3 Time +1 Destination +2 time.n.08 TPR now apple_tree.n.01												
p45/d1860	Three-fourths of the town was destroyed by the typhoon. 	entity.n.01 Quantity 3/4 SubOf +1 town.n.01 time.n.08 TPR now destroy.v.01 Patient -3 Time -1 Causer +1 typhoon.n.01												
p88/d1995	Tom poured wine into a plastic cup and handed it to Mary. 	"male.n.02 Name ""Tom"" male.n.02 Name ""Tom"" pour.v.01 Agent -2 Time +1 Theme +2 Destination +3 Recipient +9 time.n.08 TPR now wine.n.01 location.n.01 STI +2 plastic.n.01 cup.n.01 MadeOf -1 hand.v.01 Agent -7 Time +1 Theme +2 Recipient +4 time.n.08 TPR now entity.n.01 ANA -3 female.n.02 Name ""Mary"" female.n.02 Name ""Mary"""												
p40/d1475	Tom walked through the revolving door into the hotel lobby. 	"male.n.02 Name ""Tom"" walk.v.01 Theme -1 Time +1 Path +2 Destination +4 time.n.08 TPR now revolving_door.n.02 hotel.n.01 lobby.n.01 PartOf -1"												
p77/d3198	The right arm of the Statue of Liberty is 42 feet long. 	"right.a.01 AttributeOf +1 arm.n.01 PartOf +1 sculpture.n.01 Name ""Statue of Liberty"" time.n.08 EQU now quantity.n.01 EQU 42 foot.n.02 Quantity -1 long.a.02 Theme -5 Time -3 Value -1"												
p86/d2444	A surfer was eaten by a shark in Australia. 	"person.n.01 Role +1 surfer.n.01 time.n.08 TPR now eat.v.01 Patient -3 Time -1 Agent +1 shark.n.01 Location +1 country.n.02 Name ""Australia"""												
p15/d2333	You should go to the dentist and have that tooth pulled out. 	person.n.01 EQU hearer time.n.08 TSU now tooth.n.01 pull_out.v.03 Source -3 Time -2 Theme -1 NECESSITY <1 go.v.01 Theme -4 Destination +1 person.n.01 Role +1 dentist.n.01												
p74/d1383	What is the ranger's name in Yogi Bear cartoons? 	"entity.n.01 EQU ? be.v.02 Theme -1 Time +1 Co-Theme +4 Context +5 time.n.08 EQU now person.n.01 Role +1 ranger.n.02 name.n.01 Bearer -2 cartoon.n.01 Name ""Yogi Bear"""												
p55/d2898	It took me three years to write this book. 	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 3 year.n.01 Quantity -1 write.v.01 Time -4 Agent -3 Duration -1 Result +1 book.n.01												
p30/d1387	In what part of Russia did an oilpipe burst? 	"part.n.05 Name ? PartOf +1 country.n.02 Name ""Russia"" time.n.08 TPR now oil_pipeline.n.01 burst.v.01 Location -4 Time -2 Patient -1"												
p79/d1465	Tom had both of his socks on inside out. 	"male.n.02 Name ""Tom"" NEGATION <1 entity.n.01 Quantity 2 PartOf +2 male.n.02 ANA -2 sock.n.01 User -1 NEGATION <1 have_on.v.01 Agent -4 Theme -3 Time +1 Manner +2 time.n.08 TPR now inside_out.r.01"												
p51/d0098	A small car is more economical than a large one. 	small.a.01 Value + car.n.01 Attribute -1 time.n.08 EQU now more.r.01 Theme -2 Co-Theme +3 economical.a.01 AttributeOf -3 Time -2 Degree -1 large.a.01 Value + car.n.01 Attribute -1												
p94/d1295	On October 2, 1942, he was at the Swiss border once again. 	"time.n.08 MonthOfYear 10 EQU +1 time.n.08 DayOfMonth 2 YearOfCentury 1942 time.n.08 EQU -1 male.n.02 be.v.03 Time -2 Theme -1 Time +1 Location +3 time.n.08 TPR now country.n.02 Name ""switzerland"" frontier.n.02 PartOf -1"												
p19/d2569	The tower is three hundred and twenty-one meters high. 	tower.n.01 time.n.08 EQU now quantity.n.01 EQU 321 meter.n.01 Quantity -1 high.a.02 AttributeOf -4 Time -3 Value -1												
p02/d1648	This is centrifugal force; Newton viewed it as absolute motion. 	"entity.n.01 be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now centrifugal_force.n.01 CONTINUATION <1 male.n.02 Name ""Newton"" view.v.01 Agent -1 Time +1 Theme +2 Attribute +4 time.n.08 TPR now entity.n.01 ANA -7 absolute.a.01 AttributeOf +1 motion.n.02"												
p41/d2929	Everyone in the class learned the poem by heart. 	NEGATION <1 person.n.01 PartOf +1 class.n.02 NEGATION <1 learn.v.03 Agent -2 Time +1 Topic +2 Manner +3 time.n.08 TPR now poem.n.01 by_heart.r.01												
p76/d3189	I'm holding in my hands a book by Susanna Tamaro. 	"person.n.01 EQU speaker time.n.08 EQU now hold.v.02 Agent -2 Time -1 Location +2 Theme +3 person.n.01 EQU speaker hand.n.01 PartOf -1 book.n.02 Creator +1 female.n.02 Name ""Susanna Tamaro"""												
p72/d1385	What is the capital of the Republic of South Africa? 	"entity.n.01 Name ? be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now national_capital.n.01 PartOf +1 country.n.02 Name ""Republic of South Africa"""												
p01/d2800	Tom diced the carrots and added them to the stew. 	"male.n.02 Name ""Tom"" dice.v.01 Agent -1 Time +1 Patient +2 time.n.08 TPR now carrot.n.01 add.v.01 Agent -4 Time +1 Patient +2 Co-Patient +3 time.n.08 TPR now entity.n.01 ANA -3 stew.n.02"												
p59/d0807	In 1972, Dr. Francine Patterson started to teach sign language to Koko. 	"time.n.08 YearOfCentury 1972 doctor.n.04 female.n.02 Name ""Francine Patterson"" Title -1 start.v.04 Time -3 Time +1 PartOf +2 time.n.08 TPR now teach.v.01 Agent -3 Theme +1 Recipient +2 sign_language.n.01 animal.n.01 Name ""Koko"""												
p24/d2661	I felt a sharp pain in my stomach all of a sudden. 	person.n.01 EQU speaker feel.v.03 Experiencer -1 Time +1 Stimulus +3 Manner +6 time.n.08 TPR now sharp.a.08 AttributeOf +1 pain.n.01 Location +2 person.n.01 EQU speaker stomach.n.01 PartOf -1 all_of_a_sudden.r.02												
p36/d1185	The annual capacity for polyester staple fibers is currently around 45,000 metric tons. 	annual.a.02 AttributeOf +1 capacity.n.01 Theme +2 polyester.n.02 staple_fiber.n.01 MadeOf -1 be.v.06 Theme -3 Time +1 Co-Theme +4 time.n.08 EQU now quantity.n.01 APX +1 quantity.n.01 EQU 45000 metric_ton.n.01 Quantity -2												
p05/d3085	My aunt, who lives in Tokyo, sent me a beautiful blouse. 	"person.n.01 EQU speaker person.n.01 Role +1 aunt.n.01 Of -2 entity.n.01 EQU -2 live.v.01 Theme -1 Time +1 Location +2 time.n.08 EQU now city.n.01 Name ""Tokyo"" send.v.03 Agent -6 Time +1 Destination +2 Theme +4 time.n.08 TPR now person.n.01 EQU speaker beautiful.a.01 AttributeOf +1 blouse.n.01"												
p02/d2419	Tom is reading a novel by Sidney Sheldon now. 	"male.n.02 Name ""Tom"" time.n.08 EQU now read.v.01 Experiencer -2 Time -1 Stimulus +1 novel.n.01 Creator +1 male.n.02 Name ""Sidney Sheldon"""												
p19/d1137	From a basket one grabbed a greasy wooden spoon.... 	NEGATION <1 person.n.01 NEGATION <1 basket.n.01 grab.v.03 Agent -2 Source -1 Time +1 Theme +4 time.n.08 TPR now greasy.a.02 AttributeOf +2 wooden.a.01 AttributeOf +1 spoon.n.01												
p30/d1948	I'm waiting for her to climb into her car. 	person.n.01 EQU speaker time.n.08 EQU now wait.v.01 Time -1 Proposition >1 Agent -2 CONTINUATION <0 female.n.02 climb.v.02 Theme -1 Destination +2 female.n.02 ANA -2 car.n.01 User -1												
p95/d2257	The train station is very close to the hotel. 	train_station.n.01 time.n.08 EQU now very.r.01 close.a.01 AttributeOf -3 Time -2 Degree -1 Theme +1 hotel.n.01												
p03/d3427	The hunting dogs followed the scent of the fox. 	hunting_dog.n.01 follow.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now scent.n.02 Creator +1 fox.n.01												
p05/d2724	I was in New York for a few days. 	"person.n.01 EQU speaker be.v.03 Theme -1 Time +1 Location +2 Duration +3 time.n.08 TPR now city.n.01 Name ""New York"" day.n.01 Quantity -"												
p05/d2703	My train left at six and arrived at ten. 	person.n.01 EQU speaker train.n.01 User -1 leave.v.01 Theme -1 Time +1 Time +2 time.n.08 TPR now time.n.08 ClockTime 18:00 arrive.v.01 Theme -4 Time +1 Time +2 time.n.08 TPR now time.n.08 ClockTime 22:00												
p82/d3040	Tom unscrewed the cap and handed the jar to Mary. 	"male.n.02 Name ""Tom"" unscrew.v.01 Agent -1 Time +1 Patient +2 time.n.08 TPR now cap.n.02 hand.v.01 Agent -4 Time +1 Theme +2 Recipient +3 time.n.08 TPR now jar.n.01 female.n.02 Name ""Mary"""												
p91/d1464	The operation is accompanied with a lot of pain. 	operation.n.06 time.n.08 EQU now accompany.v.01 Theme -2 Time -1 Co-Theme +1 entity.n.01 Quantity + EQU +1 pain.n.01												
p93/d2681	Our sister bought some eggplants, potatoes, zucchinis and Chinese cabbage at the market. 	"person.n.01 Sub speaker person.n.01 Role +1 sister.n.01 Of -2 buy.v.01 Agent -2 Time +1 Theme +5 Location +8 time.n.08 TPR now eggplant.n.01 potato.n.01 zucchini.n.02 entity.n.01 Sub -3 Sub -2 Sub -1 Sub +2 country.n.01 Name ""China"" cabbage.n.01 Source -1 market.n.03"												
p08/d3040	The nurse handed Tom some pills and he took them. 	"person.n.01 Role +1 nurse.n.01 hand.v.01 Agent -2 Time +1 Destination +2 Theme +3 time.n.08 TPR now male.n.02 Name ""Tom"" pill.n.02 CONTINUATION <1 male.n.02 ANA -2 take.v.18 Agent -1 Time +1 Theme +2 time.n.08 TPR now entity.n.01 ANA -4"												
p00/d1178	In 1922, the site was acquired by Produits Chimiques Bozel Lamotte. 	"time.n.08 YearOfCentury 1922 site.n.01 time.n.08 TPR now acquire.v.01 Time -3 Theme -2 Time -1 Agent +1 company.n.01 Name ""Produits Chimiques Bozel Lamotte"""												
p04/d1795	The teacher and I sat down face to face. 	person.n.01 Role +1 teacher.n.01 entity.n.01 Sub -2 Sub +1 person.n.01 EQU speaker sit_down.v.03 Theme -2 Time +1 Manner +2 time.n.08 TPR now face_to_face.r.01												
p14/d2176	It took me about an hour to read this book through. 	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 APX 1 hour.n.01 Quantity -1 read.v.01 Time -4 Experiencer -3 Duration -1 Stimulus +1 book.n.01												
p94/d0835	Besides being a doctor, he was a very famous novelist. 	be.v.08 Co-Theme +1 Theme +3 person.n.01 Role +1 doctor.n.01 male.n.02 be.v.08 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now famous.a.01 AttributeOf +2 person.n.01 Role +1 novelist.n.01												
p81/d2222	Tom folded the letter and put it into the envelope. 	"male.n.02 Name ""Tom"" fold.v.01 Agent -1 Time +1 Patient +2 time.n.08 TPR now letter.n.01 put.v.01 Agent -4 Time +1 Theme +2 Destination +3 time.n.08 TPR now entity.n.01 ANA -3 envelope.n.01"												
p80/d1537	She took off her old shoes and put on the new ones. 	female.n.02 take_off.v.06 Agent -1 Time +1 Theme +4 time.n.08 TPR now female.n.02 ANA -3 old.a.02 AttributeOf +1 shoe.n.01 User -2 put_on.v.01 Agent -6 Time +1 Theme +3 time.n.08 TPR now new.a.01 AttributeOf +1 shoe.n.01												
p99/d3382	Vegetarians are some of the healthiest people in the world. 	person.n.01 Role +1 vegetarian.n.01 be.v.02 Theme -2 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 SubOf +3 healthy.a.01 Degree +1 most.r.01 person.n.01 Attribute -2 Location +1 world.n.04												
p90/d2273	This novel isn't as good as his last one. 	novel.n.01 NEGATION <1 time.n.08 EQU now as.r.01 Theme -2 Co-Theme +4 good.a.01 AttributeOf -3 Time -2 Degree -1 male.n.02 last.a.01 AttributeOf +1 novel.n.01 Creator -2												
p24/d2621	We loaded a lot of luggage into the car. 	person.n.01 Sub speaker load.v.01 Agent -1 Time +1 Theme +2 Destination +4 time.n.08 TPR now entity.n.01 Quantity + EQU +1 luggage.n.01 car.n.01												
p04/d2024	Tom was very angry with Mary and it took her a long time to placate him. 	"male.n.02 Name ""Tom"" time.n.08 TPR now very.r.01 angry.a.01 Experiencer -3 Time -2 Degree -1 Stimulus +1 female.n.02 Name ""Mary"" CONTINUATION <1 time.n.08 TPR now female.n.02 ANA -2 long.a.01 Value + time.n.02 Attribute -1 placate.v.01 Time -4 Stimulus -3 Duration -1 Experiencer +1 male.n.02 ANA -10"												
p99/d2369	Tom whispered something in Mary's ear and she nodded. 	"male.n.02 Name ""Tom"" whisper.v.01 Agent -1 Time +1 Topic +2 Destination +4 time.n.08 TPR now entity.n.01 female.n.02 Name ""Mary"" ear.n.01 PartOf -1 CONTINUATION <1 female.n.02 ANA -2 nod.v.02 Agent -1 Time +1 time.n.08 TPR now"												
p03/d3386	We believed that the object was a UFO (Unidentified Flying Object). 	person.n.01 Sub speaker believe.v.01 Proposition >1 Experiencer -1 Time +1 time.n.08 TPR now CONTINUATION <0 object.n.01 be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 TPR now ufo.n.01 unidentified_flying_object.n.01 EQU -1												
p79/d0874	Kinshasa is the capital city of the Democratic Republic of Congo. 	"city.n.01 Name ""Kinshasa"" be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now national_capital.n.01 PartOf +1 country.n.02 Name ""Democratic Republic of Congo"""												
p93/d0147	The heels of his socks had been worn out. 	heel.n.01 PartOf +2 male.n.02 sock.n.01 User -1 time.n.08 TPR now wear_out.v.03 Patient -4 Time -1												
p99/d1360	The effect was that the death rate dropped 50%. 	effect.n.01 be.v.02 Proposition >1 Theme -1 Time +1 time.n.08 TPR now CONTINUATION <0 death_rate.n.01 drop.v.03 Patient -1 Time +1 Extent +3 time.n.08 TPR now quantity.n.01 EQU 50 percent.n.01 Quantity -1												
p50/d3034	Tom is a friend of a friend of mine. 	"male.n.02 Name ""Tom"" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 friend.n.01 Of +1 person.n.01 Role +1 friend.n.01 Of +1 person.n.01 EQU speaker"												
p04/d0713	The Canadian PM attended the inauguration of the president of Mexico.	"country.n.02 Name ""canada"" person.n.01 Source -1 Role +1 pm.n.03 attend.v.01 Agent -2 Time +1 Theme +2 time.n.08 TPR now inauguration.n.02 Patient +1 person.n.01 Role +1 president.n.03 Of +1 state.n.04 Name ""Mexico"""												
