doc_id	nl_clean	nl_repair	sbn_clean	sbn_repair	repair_pos	reparandum_synset	repair_synset	reparandum_surface	interregnum	strategy	devices	dropped_roles	max_abs_index	separator_in_tail	inflection_confident
p22/d1923	He was wounded by a bullet.	He was wounded by a boomerang, I mean, by a bullet.	male.n.02 time.n.08 TPR now wound.v.01 Patient -2 Time -1 Causer +1 bullet.n.01	male.n.02 time.n.08 TPR now wound.v.01 Patient -2 Time -1 Causer +1 entity.n.01 CORRECTION <1 boomerang.n.01 EQU -1 CONJUNCTION <2 % I mean bullet.n.01 EQU -2	n	boomerang.n.01	bullet.n.01	boomerang	I mean	anchor	d5_anchor_dummy		2	0	1
p12/d1756	Your zipper is open.	Your cringle, actually, zipper is open.	person.n.01 EQU hearer zipper.n.01 User -1 time.n.08 EQU now open.a.01 AttributeOf -2 Time -1	person.n.01 EQU hearer CORRECTION <1 cringle.n.01 User -1 CONJUNCTION <2 % actually zipper.n.01 User -2 time.n.08 EQU now open.a.01 AttributeOf -2 Time -1	n	cringle.n.01	zipper.n.01	cringle	actually	inplace	retarget_to_repair		2	0	1
p12/d1756	Your zipper is open.	Your zipper is open, sorry, open.	person.n.01 EQU hearer zipper.n.01 User -1 time.n.08 EQU now open.a.01 AttributeOf -2 Time -1	person.n.01 EQU hearer zipper.n.01 User -1 time.n.08 EQU now CORRECTION <1 open.a.02 AttributeOf -2 Time -1 CONJUNCTION <2 % sorry open.a.01 AttributeOf -3 Time -2	a	open.a.02	open.a.01	open	sorry	inplace			3	0	1
p18/d2997	He had his hair cut.	He had his feather, hair cut.	male.n.02 time.n.08 TPR now male.n.02 ANA -2 hair.n.01 PartOf -1 cut.v.32 Beneficiary -4 Time -3 Patient -1	male.n.02 time.n.08 TPR now male.n.02 ANA -2 CORRECTION <1 feather.n.01 PartOf -1 CONJUNCTION <2 hair.n.01 PartOf -2 cut.v.32 Beneficiary -5 Time -4 Patient -1	n	feather.n.01	hair.n.01	feather		inplace	retarget_to_repair		5	0	1
p43/d0103	He was wet all over.	He was dry, sorry, was wet all over.	male.n.02 time.n.08 TPR now wet.a.01 AttributeOf -2 Time -1 Manner +1 all_over.r.01	male.n.02 time.n.08 TPR now CORRECTION <1 dry.a.01 AttributeOf -2 Time -1 CONJUNCTION <2 % sorry wet.a.01 AttributeOf -3 Time -2 Manner +1 all_over.r.01	a	dry.a.01	wet.a.01	dry	sorry	inplace	d1_drop_role	Manner	3	0	1
p66/d2093	My eyes are sore.	My eyes are painful, well, are sore.	person.n.01 EQU speaker eye.n.01 PartOf -1 time.n.08 EQU now sore.a.01 AttributeOf -2 Time -1	person.n.01 EQU speaker eye.n.01 PartOf -1 time.n.08 EQU now CORRECTION <1 painful.a.01 AttributeOf -2 Time -1 CONJUNCTION <2 % well sore.a.01 AttributeOf -3 Time -2	a	painful.a.01	sore.a.01	painful	well	inplace			3	0	1
p66/d2093	My eyes are sore.	My interoceptors, eyes are sore.	person.n.01 EQU speaker eye.n.01 PartOf -1 time.n.08 EQU now sore.a.01 AttributeOf -2 Time -1	person.n.01 EQU speaker CORRECTION <1 interoceptor.n.01 PartOf -1 CONJUNCTION <2 eye.n.01 PartOf -2 time.n.08 EQU now sore.a.01 AttributeOf -2 Time -1	n	interoceptor.n.01	eye.n.01	interoceptors		inplace	retarget_to_repair		2	0	1
p86/d3076	I refreshed myself with a hot bath.	I refreshed myself with a warm, I mean, hot bath.	person.n.01 EQU speaker refresh.v.03 Agent -1 Time +1 Patient +2 Instrument +4 time.n.08 TPR now person.n.01 EQU speaker hot.a.01 Value + bath.n.02 Attribute -1	person.n.01 EQU speaker refresh.v.03 Agent -1 Time +1 Patient +2 Instrument +5 time.n.08 TPR now person.n.01 EQU speaker CORRECTION <1 warm.a.01 Value + CONJUNCTION <2 % I mean hot.a.01 Value + bath.n.02 Attribute -1	a	warm.a.01	hot.a.01	warm	I mean	inplace	retarget_to_repair		5	0	1
p86/d3076	I refreshed myself with a hot bath.	I refreshed myself with a hot shower, bath.	person.n.01 EQU speaker refresh.v.03 Agent -1 Time +1 Patient +2 Instrument +4 time.n.08 TPR now person.n.01 EQU speaker hot.a.01 Value + bath.n.02 Attribute -1	person.n.01 EQU speaker refresh.v.03 Agent -1 Time +1 Patient +2 Instrument +5 time.n.08 TPR now person.n.01 EQU speaker hot.a.01 Value + CORRECTION <1 shower.n.02 Attribute -1 CONJUNCTION <2 bath.n.02 Attribute -2	n	shower.n.02	bath.n.02	shower		inplace	retarget_to_repair		5	0	1
p04/d1795	The teacher and I sat down face to face.	The teacher and I seated, no wait, sat down face to face.	person.n.01 Role +1 teacher.n.01 entity.n.01 Sub -2 Sub +1 person.n.01 EQU speaker sit_down.v.03 Theme -2 Time +1 Manner +2 time.n.08 TPR now face_to_face.r.01	person.n.01 Role +1 teacher.n.01 entity.n.01 Sub -2 Sub +1 person.n.01 EQU speaker CORRECTION <1 seat.v.01 Theme -2 CONJUNCTION <2 % no wait sit_down.v.03 Theme -3 Time +1 Manner +2 time.n.08 TPR now face_to_face.r.01	v	seat.v.01	sit_down.v.03	seated	no wait	inplace	d1_drop_role	Time|Manner	3	0	1
p04/d1795	The teacher and I sat down face to face.	The principal, I mean, The teacher and I sat down face to face.	person.n.01 Role +1 teacher.n.01 entity.n.01 Sub -2 Sub +1 person.n.01 EQU speaker sit_down.v.03 Theme -2 Time +1 Manner +2 time.n.08 TPR now face_to_face.r.01	person.n.01 Role +1 entity.n.01 CORRECTION <1 principal.n.02 EQU -1 CONJUNCTION <2 % I mean teacher.n.01 EQU -2 entity.n.01 Sub -4 Sub +1 person.n.01 EQU speaker sit_down.v.03 Theme -2 Time +1 Manner +2 time.n.08 TPR now face_to_face.r.01	n	principal.n.02	teacher.n.01	principal	I mean	anchor	d5_anchor_dummy		4	0	1
p07/d2761	There are a lot of factories in Kawasaki.	There are a lot of distilleries, of factories in Kawasaki.	"entity.n.01 be.v.03 Time +1 EQU -1 Theme +2 Location +4 time.n.08 EQU now entity.n.01 Quantity + EQU +1 factory.n.01 city.n.01 Name ""Kawasaki"""	"entity.n.01 be.v.03 Time +1 EQU -1 Theme +2 Location +6 time.n.08 EQU now entity.n.01 Quantity + EQU +1 entity.n.01 CORRECTION <1 distillery.n.01 EQU -1 CONJUNCTION <2 factory.n.01 EQU -2 city.n.01 Name ""Kawasaki"""	n	distillery.n.01	factory.n.01	distilleries		anchor	d5_anchor_dummy		6	0	1
p99/d0234	Whose pen is this?	Whose crayon, pen is this?	person.n.01 Name ? pen.n.01 User -1 be.v.02 Co-Theme -1 Time +1 Theme +2 time.n.08 EQU now entity.n.01	person.n.01 Name ? CORRECTION <1 crayon.n.01 User -1 CONJUNCTION <2 pen.n.01 User -2 be.v.02 Co-Theme -1 Time +1 Theme +2 time.n.08 EQU now entity.n.01	n	crayon.n.01	pen.n.01	crayon		inplace	retarget_to_repair		2	0	1
p05/d1700	She is very fond of writing poems.	She is very fond of publishing, writing poems.	female.n.02 time.n.08 EQU now very.r.01 fond.a.03 Experiencer -3 Time -2 Degree -1 Stimulus +1 write.v.01 Result +1 poem.n.01	female.n.02 time.n.08 EQU now very.r.01 fond.a.03 Experiencer -3 Time -2 Degree -1 Stimulus +3 poem.n.01 CORRECTION <1 publish.v.03 Result -1 CONJUNCTION <2 write.v.01 Result -2	v	publish.v.03	write.v.01	publishing		hoist	retarget_to_repair|d4_movement		3	0	1
p05/d1700	She is very fond of writing poems.	She is very inclined, or rather, fond of writing poems.	female.n.02 time.n.08 EQU now very.r.01 fond.a.03 Experiencer -3 Time -2 Degree -1 Stimulus +1 write.v.01 Result +1 poem.n.01	female.n.02 time.n.08 EQU now very.r.01 CORRECTION <1 inclined.a.01 Experiencer -3 Time -2 Degree -1 CONJUNCTION <2 % or rather fond.a.03 Experiencer -4 Time -3 Degree -2 Stimulus +1 write.v.01 Result +1 poem.n.01	a	inclined.a.01	fond.a.03	inclined	or rather	inplace	d1_drop_role	Stimulus	4	0	1
p85/d3297	In other words, you're a fool.	In other words, you're a stupid, I mean, a fool.	person.n.01 EQU hearer be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 fool.n.01	person.n.01 EQU hearer be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 entity.n.01 CORRECTION <1 stupid.n.01 EQU -1 CONJUNCTION <2 % I mean fool.n.01 EQU -2	n	stupid.n.01	fool.n.01	stupid	I mean	anchor	d5_anchor_dummy		2	0	1
p12/d1918	The score is one all.	The biquadrate, I mean to say, score is one all.	score.n.03 be.v.06 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now score.n.03 Value 1-1	entity.n.01 CORRECTION <1 biquadrate.n.01 EQU -1 CONJUNCTION <2 % I mean to say score.n.03 EQU -2 be.v.06 Theme -3 Time +1 Co-Theme +2 time.n.08 EQU now score.n.03 Value 1-1	n	biquadrate.n.01	score.n.03	biquadrate	I mean to say	anchor	d5_anchor_dummy		3	0	1
p13/d2350	Tom flinched.	Tom writhed, sorry, flinched.	"male.n.02 Name ""Tom"" flinch.v.01 Experiencer -1 Time +1 time.n.08 TPR now"	"male.n.02 Name ""Tom"" CORRECTION <1 writhe.v.01 Experiencer -1 CONJUNCTION <2 % sorry flinch.v.01 Experiencer -2 Time +1 time.n.08 TPR now"	v	writhe.v.01	flinch.v.01	writhed	sorry	inplace	d1_drop_role	Time	2	0	1
p19/d3036	Tom killed himself three months ago.	Tom killed himself three enlistments, months ago.	"male.n.02 Name ""Tom"" kill.v.01 Agent -1 Time +1 Patient +2 Time +5 time.n.08 TPR now male.n.02 ANA -3 quantity.n.01 EQU 3 month.n.01 Quantity -1 TAB now time.n.08 TAB -1"	"male.n.02 Name ""Tom"" kill.v.01 Agent -1 Time +1 Patient +2 Time +6 time.n.08 TPR now male.n.02 ANA -3 quantity.n.01 EQU 3 CORRECTION <1 enlistment.n.01 Quantity -1 TAB now CONJUNCTION <2 month.n.01 Quantity -2 TAB now time.n.08 TAB -1"	n	enlistment.n.01	month.n.01	enlistments		inplace	retarget_to_repair		6	0	1
p19/d3036	Tom killed himself three months ago.	Tom killed, actually, killed himself three months ago.	"male.n.02 Name ""Tom"" kill.v.01 Agent -1 Time +1 Patient +2 Time +5 time.n.08 TPR now male.n.02 ANA -3 quantity.n.01 EQU 3 month.n.01 Quantity -1 TAB now time.n.08 TAB -1"	"male.n.02 Name ""Tom"" CORRECTION <1 kill.v.10 Agent -1 CONJUNCTION <2 % actually kill.v.01 Agent -2 Time +1 Patient +2 Time +5 time.n.08 TPR now male.n.02 ANA -4 quantity.n.01 EQU 3 month.n.01 Quantity -1 TAB now time.n.08 TAB -1"	v	kill.v.10	kill.v.01	killed	actually	inplace	d1_drop_role	Time|Patient|Time	5	0	1
p90/d0773	I'm broke.	I'm poor, no wait, broke.	person.n.01 EQU speaker time.n.08 EQU now broke.a.01 AttributeOf -2 Time -1	person.n.01 EQU speaker time.n.08 EQU now CORRECTION <1 poor.a.02 AttributeOf -2 Time -1 CONJUNCTION <2 % no wait broke.a.01 AttributeOf -3 Time -2	a	poor.a.02	broke.a.01	poor	no wait	inplace			3	0	1
p15/d2501	He imports clothes from Turkey.	He imports accessories, no wait, clothes from Turkey.	"male.n.02 import.v.01 Agent -1 Time +1 Theme +2 Source +3 time.n.08 EQU now clothes.n.01 country.n.02 Name ""Turkey"""	"male.n.02 import.v.01 Agent -1 Time +1 Source +4 time.n.08 EQU now CORRECTION <1 accessory.n.01 ThemeOf -2 CONJUNCTION <2 % no wait clothes.n.01 ThemeOf -3 country.n.02 Name ""Turkey"""	n	accessory.n.01	clothes.n.01	accessories	no wait	inplace	d2_invert_role		4	0	1
p15/d2501	He imports clothes from Turkey.	He arbitrages, that is, imports clothes from Turkey.	"male.n.02 import.v.01 Agent -1 Time +1 Theme +2 Source +3 time.n.08 EQU now clothes.n.01 country.n.02 Name ""Turkey"""	"male.n.02 CORRECTION <1 arbitrage.v.01 Agent -1 CONJUNCTION <2 % that is import.v.01 Agent -2 Time +1 Theme +2 Source +3 time.n.08 EQU now clothes.n.01 country.n.02 Name ""Turkey"""	v	arbitrage.v.01	import.v.01	arbitrages	that is	inplace	d1_drop_role	Time|Theme|Source	3	0	1
p11/d0933	My feet are cold.	My feet are cool, well, cold.	person.n.01 EQU speaker foot.n.01 PartOf -1 time.n.08 EQU now cold.a.01 AttributeOf -2 Time -1	person.n.01 EQU speaker foot.n.01 PartOf -1 time.n.08 EQU now CORRECTION <1 cool.a.01 AttributeOf -2 Time -1 CONJUNCTION <2 % well cold.a.01 AttributeOf -3 Time -2	a	cool.a.01	cold.a.01	cool	well	inplace			3	0	1
p11/d0933	My feet are cold.	My animals foot, actually, feet are cold.	person.n.01 EQU speaker foot.n.01 PartOf -1 time.n.08 EQU now cold.a.01 AttributeOf -2 Time -1	person.n.01 EQU speaker CORRECTION <1 animal_foot.n.01 PartOf -1 CONJUNCTION <2 % actually foot.n.01 PartOf -2 time.n.08 EQU now cold.a.01 AttributeOf -2 Time -1	n	animal_foot.n.01	foot.n.01	animals foot	actually	inplace	retarget_to_repair		2	0	1
p72/d3418	My mum bought two bottles of apple juice.	My mum bought, bought two bottles of apple juice.	person.n.01 EQU speaker person.n.01 Role +1 mum.n.02 Of -2 buy.v.01 Agent -2 Time +1 Theme +4 time.n.08 TPR now quantity.n.01 EQU 2 bottle.n.02 Quantity -1 entity.n.01 Sub -1 Sub +1 apple_juice.n.01	person.n.01 EQU speaker person.n.01 Role +1 mum.n.02 Of -2 CORRECTION <1 buy.v.03 Agent -2 CONJUNCTION <2 buy.v.01 Agent -3 Time +1 Theme +4 time.n.08 TPR now quantity.n.01 EQU 2 bottle.n.02 Quantity -1 entity.n.01 Sub -1 Sub +1 apple_juice.n.01	v	buy.v.03	buy.v.01	bought		inplace	d1_drop_role	Time|Theme	4	0	1
p72/d3418	My mum bought two bottles of apple juice.	My mum bought two barrows, no, bottles of apple juice.	person.n.01 EQU speaker person.n.01 Role +1 mum.n.02 Of -2 buy.v.01 Agent -2 Time +1 Theme +4 time.n.08 TPR now quantity.n.01 EQU 2 bottle.n.02 Quantity -1 entity.n.01 Sub -1 Sub +1 apple_juice.n.01	person.n.01 EQU speaker person.n.01 Role +1 mum.n.02 Of -2 buy.v.01 Agent -2 Time +1 Theme +5 time.n.08 TPR now quantity.n.01 EQU 2 CORRECTION <1 barrow.n.01 Quantity -1 CONJUNCTION <2 % no bottle.n.02 Quantity -2 entity.n.01 Sub -1 Sub +1 apple_juice.n.01	n	barrow.n.01	bottle.n.02	barrows	no	inplace	retarget_to_repair		5	0	1
p45/d2585	The Tomei Expressway connects Tokyo with Nagoya.	The Tomei Beltway, I mean to say, Expressway connects Tokyo with Nagoya.	"expressway.n.01 Name ""Tomei"" connect.v.03 Causer -1 Time +1 Patient +2 Co-Patient +3 time.n.08 EQU now city.n.01 Name ""Tokyo"" city.n.01 Name ""Nagoya"""	"CORRECTION <1 beltway.n.01 Name ""Tomei"" CONJUNCTION <2 % I mean to say expressway.n.01 Name ""Tomei"" connect.v.03 Causer -1 Time +1 Patient +2 Co-Patient +3 time.n.08 EQU now city.n.01 Name ""Tokyo"" city.n.01 Name ""Nagoya"""	n	beltway.n.01	expressway.n.01	beltway	I mean to say	inplace	retarget_to_repair		3	0	1
p35/d1919	Nobody knew.	Nobody knew, knew.	NEGATION <1 person.n.01 know.v.01 Experiencer -1 Time +1 time.n.08 TPR now	NEGATION <1 person.n.01 CORRECTION <1 know.v.03 Experiencer -1 CONJUNCTION <2 know.v.01 Experiencer -2 Time +1 time.n.08 TPR now	v	know.v.03	know.v.01	knew		inplace	d1_drop_role	Time	2	0	1
p11/d3223	We have been to Tokyo many times.	We have been to Tokyo many humiliations, times.	"person.n.01 Sub speaker be.v.03 Theme -1 Time +1 Destination +2 Frequency +3 time.n.08 TPR now city.n.01 Name ""Tokyo"" time.n.01 Quantity +"	"person.n.01 Sub speaker be.v.03 Theme -1 Time +1 Destination +2 Frequency +4 time.n.08 TPR now city.n.01 Name ""Tokyo"" CORRECTION <1 humiliation.n.03 Quantity + CONJUNCTION <2 time.n.01 Quantity +"	n	humiliation.n.03	time.n.01	humiliations		inplace	retarget_to_repair		4	0	1
p10/d0874	He was brave.	He was adventurous, no wait, was brave.	male.n.02 time.n.08 TPR now brave.a.01 AttributeOf -2 Time -1	male.n.02 time.n.08 TPR now CORRECTION <1 adventurous.a.01 AttributeOf -2 Time -1 CONJUNCTION <2 % no wait brave.a.01 AttributeOf -3 Time -2	a	adventurous.a.01	brave.a.01	adventurous	no wait	inplace			3	0	1
p90/d3091	The driver overtook the car.	The driver elapsed, overtook the car.	person.n.01 Role +1 driver.n.01 overtake.v.02 Agent -2 Time +1 Theme +2 time.n.08 TPR now car.n.01	person.n.01 Role +1 driver.n.01 CORRECTION <1 elapse.v.01 Agent -2 CONJUNCTION <2 overtake.v.02 Agent -3 Time +1 Theme +2 time.n.08 TPR now car.n.01	v	elapse.v.01	overtake.v.02	elapsed		inplace	d1_drop_role	Time|Theme	3	0	1
p90/d3091	The driver overtook the car.	The telegrapher, The driver overtook the car.	person.n.01 Role +1 driver.n.01 overtake.v.02 Agent -2 Time +1 Theme +2 time.n.08 TPR now car.n.01	person.n.01 Role +1 entity.n.01 CORRECTION <1 telegrapher.n.01 EQU -1 CONJUNCTION <2 driver.n.01 EQU -2 overtake.v.02 Agent -4 Time +1 Theme +2 time.n.08 TPR now car.n.01	n	telegrapher.n.01	driver.n.01	telegrapher		anchor	d5_anchor_dummy		4	0	1
p36/d2331	The situation was Kafkaesque.	The situation was Unrealistic, actually, Kafkaesque.	situation.n.01 TPR now EQU +2 kafkaesque.a.02 AttributeOf +1 entity.n.01	situation.n.01 TPR now EQU +1 entity.n.01 CORRECTION <1 unrealistic.a.01 AttributeOf -1 CONJUNCTION <2 % actually kafkaesque.a.02 AttributeOf -2	a	unrealistic.a.01	kafkaesque.a.02	unrealistic	actually	hoist	d4_movement		2	0	1
p36/d2331	The situation was Kafkaesque.	The imminence, in fact, The situation was Kafkaesque.	situation.n.01 TPR now EQU +2 kafkaesque.a.02 AttributeOf +1 entity.n.01	CORRECTION <1 imminence.n.01 TPR now CONJUNCTION <2 % in fact situation.n.01 TPR now EQU +2 kafkaesque.a.02 AttributeOf +1 entity.n.01	n	imminence.n.01	situation.n.01	imminence	in fact	inplace	d1_drop_role	EQU	2	0	1
p18/d3329	I called her Cathy.	I called, called her Cathy.	"person.n.01 EQU speaker call.v.01 Agent -1 Time +1 Theme +2 Result +3 time.n.08 TPR now female.n.02 name.n.01 EQU ""Cathy"""	"person.n.01 EQU speaker CORRECTION <1 call.v.02 Agent -1 CONJUNCTION <2 call.v.01 Agent -2 Time +1 Theme +2 Result +3 time.n.08 TPR now female.n.02 name.n.01 EQU ""Cathy"""	v	call.v.02	call.v.01	called		inplace	d1_drop_role	Time|Theme|Result	3	0	1
p74/d3413	I pulled out my knitting needles.	I pulled out my crochet needle, actually, knitting needles.	person.n.01 EQU speaker pull_out.v.02 Agent -1 Time +1 Theme +3 time.n.08 TPR now person.n.01 EQU speaker knitting_needle.n.01 User -1	person.n.01 EQU speaker pull_out.v.02 Agent -1 Time +1 time.n.08 TPR now person.n.01 EQU speaker CORRECTION <1 crochet_needle.n.01 User -1 ThemeOf -3 CONJUNCTION <2 % actually knitting_needle.n.01 User -2 ThemeOf -4	n	crochet_needle.n.01	knitting_needle.n.01	crochet needle	actually	inplace	d2_invert_role		4	0	1
p74/d3413	I pulled out my knitting needles.	I extracted, pulled out my knitting needles.	person.n.01 EQU speaker pull_out.v.02 Agent -1 Time +1 Theme +3 time.n.08 TPR now person.n.01 EQU speaker knitting_needle.n.01 User -1	person.n.01 EQU speaker CORRECTION <1 extract.v.01 Agent -1 CONJUNCTION <2 pull_out.v.02 Agent -2 Time +1 Theme +3 time.n.08 TPR now person.n.01 EQU speaker knitting_needle.n.01 User -1	v	extract.v.01	pull_out.v.02	extracted		inplace	d1_drop_role	Time|Theme	3	0	1
p50/d0857	It snows.	It rains, snows.	entity.n.01 snow.v.01 EQU -1 Time +1 time.n.08 EQU now	entity.n.01 CORRECTION <1 rain.v.01 EQU -1 CONJUNCTION <2 snow.v.01 EQU -2 Time +1 time.n.08 EQU now	v	rain.v.01	snow.v.01	rains		inplace	d1_drop_role	Time	2	0	1
p04/d1765	Tom is baking a pizza.	Tom is microwaving, I mean to say, baking a pizza.	"male.n.02 Name ""Tom"" time.n.08 EQU now bake.v.01 Agent -2 Time -1 Product +1 pizza.n.01"	"male.n.02 Name ""Tom"" time.n.08 EQU now CORRECTION <1 microwave.v.01 Agent -2 Time -1 CONJUNCTION <2 % I mean to say bake.v.01 Agent -3 Time -2 Product +1 pizza.n.01"	v	microwave.v.01	bake.v.01	microwaving	I mean to say	inplace	d1_drop_role	Product	3	0	1
p04/d1765	Tom is baking a pizza.	Tom is baking a pilaf, no wait, a pizza.	"male.n.02 Name ""Tom"" time.n.08 EQU now bake.v.01 Agent -2 Time -1 Product +1 pizza.n.01"	"male.n.02 Name ""Tom"" time.n.08 EQU now bake.v.01 Agent -2 Time -1 Product +1 entity.n.01 CORRECTION <1 pilaf.n.01 EQU -1 CONJUNCTION <2 % no wait pizza.n.01 EQU -2"	n	pilaf.n.01	pizza.n.01	pilaf	no wait	anchor	d5_anchor_dummy		2	0	1
p32/d2828	I'm not breaking the law.	I'm not breaking the assortment, in fact, law.	person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now break.v.06 Agent -2 Time -1 Theme +1 law.n.01	person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now break.v.06 Agent -2 Time -1 CORRECTION <1 assortment.n.01 ThemeOf -1 CONJUNCTION <2 % in fact law.n.01 ThemeOf -2	n	assortment.n.01	law.n.01	assortment	in fact	inplace	d2_invert_role		2	0	1
p07/d2223	I took a cab to the station.	I took a cab to the airfield, station.	person.n.01 EQU speaker take.v.09 Agent -1 Time +1 Theme +2 Destination +3 time.n.08 TPR now cab.n.03 station.n.01	person.n.01 EQU speaker take.v.09 Agent -1 Time +1 Theme +2 Destination +3 time.n.08 TPR now cab.n.03 entity.n.01 CORRECTION <1 airfield.n.01 EQU -1 CONJUNCTION <2 station.n.01 EQU -2	n	airfield.n.01	station.n.01	airfield		anchor	d5_anchor_dummy		3	0	1
p07/d2223	I took a cab to the station.	I exerted, that is, took a cab to the station.	person.n.01 EQU speaker take.v.09 Agent -1 Time +1 Theme +2 Destination +3 time.n.08 TPR now cab.n.03 station.n.01	person.n.01 EQU speaker CORRECTION <1 exert.v.01 Agent -1 CONJUNCTION <2 % that is take.v.09 Agent -2 Time +1 Theme +2 Destination +3 time.n.08 TPR now cab.n.03 station.n.01	v	exert.v.01	take.v.09	exerted	that is	inplace	d1_drop_role	Time|Theme|Destination	3	0	1
p70/d2239	He stole my watch.	He stole my clock, watch.	male.n.02 steal.v.01 Agent -1 Time +1 Theme +3 time.n.08 TPR now person.n.01 EQU speaker watch.n.01 User -1	male.n.02 steal.v.01 Agent -1 Time +1 time.n.08 TPR now person.n.01 EQU speaker CORRECTION <1 clock.n.01 User -1 ThemeOf -3 CONJUNCTION <2 watch.n.01 User -2 ThemeOf -4	n	clock.n.01	watch.n.01	clock		inplace	d2_invert_role		4	0	1
p70/d2239	He stole my watch.	He sacked, well, stole my watch.	male.n.02 steal.v.01 Agent -1 Time +1 Theme +3 time.n.08 TPR now person.n.01 EQU speaker watch.n.01 User -1	male.n.02 CORRECTION <1 sack.v.01 Agent -1 CONJUNCTION <2 % well steal.v.01 Agent -2 Time +1 Theme +3 time.n.08 TPR now person.n.01 EQU speaker watch.n.01 User -1	v	sack.v.01	steal.v.01	sacked	well	inplace	d1_drop_role	Time|Theme	3	0	1
p05/d1545	She devoted her life to music.	She sacrificed, or rather, devoted her life to music.	female.n.02 devote.v.01 Agent -1 Time +1 Theme +3 Goal +4 time.n.08 TPR now female.n.02 ANA -3 life.n.03 Theme -1 music.n.01	female.n.02 CORRECTION <1 sacrifice.v.01 Agent -1 CONJUNCTION <2 % or rather devote.v.01 Agent -2 Time +1 Theme +3 Goal +4 time.n.08 TPR now female.n.02 ANA -4 life.n.03 Theme -1 music.n.01	v	sacrifice.v.01	devote.v.01	sacrificed	or rather	inplace	d1_drop_role	Time|Theme|Goal	4	0	1
p05/d1545	She devoted her life to music.	She devoted her animation, sorry, life to music.	female.n.02 devote.v.01 Agent -1 Time +1 Theme +3 Goal +4 time.n.08 TPR now female.n.02 ANA -3 life.n.03 Theme -1 music.n.01	female.n.02 devote.v.01 Agent -1 Time +1 Goal +5 time.n.08 TPR now female.n.02 ANA -3 CORRECTION <1 animation.n.01 Theme -1 ThemeOf -3 CONJUNCTION <2 % sorry life.n.03 Theme -2 ThemeOf -4 music.n.01	n	animation.n.01	life.n.03	animation	sorry	inplace	d2_invert_role		5	0	1
p14/d2176	It took me about an hour to read this book through.	It took me about a hour to read this reissue, this book through.	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 APX 1 hour.n.01 Quantity -1 read.v.01 Time -4 Experiencer -3 Duration -1 Stimulus +1 book.n.01	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 APX 1 hour.n.01 Quantity -1 read.v.01 Time -4 Experiencer -3 Duration -1 Stimulus +1 entity.n.01 CORRECTION <1 reissue.n.01 EQU -1 CONJUNCTION <2 book.n.01 EQU -2	n	reissue.n.01	book.n.01	reissue		anchor	d5_anchor_dummy		4	0	1
p14/d2176	It took me about an hour to read this book through.	It took me about a day, no wait, hour to read this book through.	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 APX 1 hour.n.01 Quantity -1 read.v.01 Time -4 Experiencer -3 Duration -1 Stimulus +1 book.n.01	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 APX 1 CORRECTION <1 day.n.01 Quantity -1 CONJUNCTION <2 % no wait hour.n.01 Quantity -2 read.v.01 Time -5 Experiencer -4 Duration -1 Stimulus +1 book.n.01	n	day.n.01	hour.n.01	day	no wait	inplace	retarget_to_repair		5	0	1
p26/d2457	This river abounds in small fish.	This river abounds in small placoderm, fish.	river.n.01 abound.v.01 Location -1 Time +1 Theme +3 time.n.08 EQU now small.a.01 Value + fish.n.01 Attribute -1	river.n.01 abound.v.01 Location -1 Time +1 time.n.08 EQU now small.a.01 Value + CORRECTION <1 placoderm.n.01 Attribute -1 ThemeOf -3 CONJUNCTION <2 fish.n.01 Attribute -2 ThemeOf -4	n	placoderm.n.01	fish.n.01	placoderm		inplace	d2_invert_role		4	0	1
p26/d2457	This river abounds in small fish.	This river abounds in large, or rather, small fish.	river.n.01 abound.v.01 Location -1 Time +1 Theme +3 time.n.08 EQU now small.a.01 Value + fish.n.01 Attribute -1	river.n.01 abound.v.01 Location -1 Time +1 Theme +4 time.n.08 EQU now CORRECTION <1 large.a.01 Value + CONJUNCTION <2 % or rather small.a.01 Value + fish.n.01 Attribute -1	a	large.a.01	small.a.01	large	or rather	inplace	retarget_to_repair		4	0	1
p10/d0958	How much does this tie cost?	How much does this tie loiter, sorry, cost?	measure.n.02 Unit ? Quantity ? time.n.08 EQU now tie.n.01 cost.v.01 Value -3 Time -2 Theme -1	measure.n.02 Unit ? Quantity ? time.n.08 EQU now tie.n.01 CORRECTION <1 loiter.v.01 Value -3 Time -2 Theme -1 CONJUNCTION <2 % sorry cost.v.01 Value -4 Time -3 Theme -2	v	loiter.v.01	cost.v.01	loiter	sorry	inplace			4	0	1
